"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_consider_fe_Agüero2",4.36796115036252,NA,NA,NA,NA
"b_consider_fe_Agüero3",2.57370728465858,NA,NA,NA,NA
"b_consider_fe_Agüero4",-5.7073576106901,NA,NA,NA,NA
"b_consider_fe_Agüero5",8.09505155227075,NA,NA,NA,NA
"b_consider_fe_Agüero6",-3.00702589075701,NA,NA,NA,NA
"b_consider_fe_Alario2",28.5025087875404,NA,NA,NA,NA
"b_consider_fe_Alario3",-6.85952805167839,NA,NA,NA,NA
"b_consider_fe_Alario4",17.0581593379987,NA,NA,NA,NA
"b_consider_fe_Alario5",-4.39225868662511,NA,NA,NA,NA
"b_consider_fe_Alario6",19.9305826845346,NA,NA,NA,NA
"b_consider_fe_Alcácer2",26.721807676399,NA,NA,NA,NA
"b_consider_fe_Alcácer3",-7.50400030306249,NA,NA,NA,NA
"b_consider_fe_Alcácer4",12.7841185694815,NA,NA,NA,NA
"b_consider_fe_Alcácer5",-7.04486710964443,NA,NA,NA,NA
"b_consider_fe_Alcácer6",15.5090911916563,NA,NA,NA,NA
"b_consider_fe_Andersson2",30.4019068796062,NA,NA,NA,NA
"b_consider_fe_Andersson3",-5.43009255484144,NA,NA,NA,NA
"b_consider_fe_Andersson4",17.6502209062391,NA,NA,NA,NA
"b_consider_fe_Andersson5",-5.19986551899152,NA,NA,NA,NA
"b_consider_fe_Andersson6",-17.7861808346666,NA,NA,NA,NA
"b_consider_fe_Behrens2",4.7649365714858,NA,NA,NA,NA
"b_consider_fe_Behrens3",2.88436045284518,NA,NA,NA,NA
"b_consider_fe_Behrens4",-6.74795647333676,NA,NA,NA,NA
"b_consider_fe_Behrens5",-18.0186737061385,NA,NA,NA,NA
"b_consider_fe_Behrens6",-4.6368046055835,NA,NA,NA,NA
"b_consider_fe_Belotti2",-6.39113275846998,NA,NA,NA,NA
"b_consider_fe_Belotti3",-7.86177965002903,NA,NA,NA,NA
"b_consider_fe_Belotti4",16.4106796834702,NA,NA,NA,NA
"b_consider_fe_Belotti5",33.4348519938188,NA,NA,NA,NA
"b_consider_fe_Belotti6",19.7431389753876,NA,NA,NA,NA
"b_consider_fe_Bensebaini2",-3.57383253369385,NA,NA,NA,NA
"b_consider_fe_Bensebaini3",-9.66468623860105,NA,NA,NA,NA
"b_consider_fe_Bensebaini4",15.6851134884998,NA,NA,NA,NA
"b_consider_fe_Bensebaini5",-2.35947974473687,NA,NA,NA,NA
"b_consider_fe_Bensebaini6",18.7023481819666,NA,NA,NA,NA
"b_consider_fe_Bentaleb2",4.86320591443259,NA,NA,NA,NA
"b_consider_fe_Bentaleb3",-23.0214725269127,NA,NA,NA,NA
"b_consider_fe_Bentaleb4",-5.4123273060342,NA,NA,NA,NA
"b_consider_fe_Bentaleb5",7.81859833581873,NA,NA,NA,NA
"b_consider_fe_Bentaleb6",-4.28629222094971,NA,NA,NA,NA
"b_consider_fe_Benzema2",-11.7916204193553,NA,NA,NA,NA
"b_consider_fe_Benzema3",-19.098775803227,NA,NA,NA,NA
"b_consider_fe_Benzema4",-5.55790879553464,NA,NA,NA,NA
"b_consider_fe_Benzema5",-12.5588638245273,NA,NA,NA,NA
"b_consider_fe_Benzema6",-29.7182899974571,NA,NA,NA,NA
"b_consider_fe_Bonucci2",-16.6583887678452,NA,NA,NA,NA
"b_consider_fe_Bonucci3",-23.6651296479026,NA,NA,NA,NA
"b_consider_fe_Bonucci4",-33.8703707093326,NA,NA,NA,NA
"b_consider_fe_Bonucci5",-5.71887160919503,NA,NA,NA,NA
"b_consider_fe_Bonucci6",-2.76716315627667,NA,NA,NA,NA
"b_consider_fe_Brosinski2",-22.9836366239842,NA,NA,NA,NA
"b_consider_fe_Brosinski3",-27.5390858217494,NA,NA,NA,NA
"b_consider_fe_Brosinski4",-5.8937223147783,NA,NA,NA,NA
"b_consider_fe_Brosinski5",-12.4369463972608,NA,NA,NA,NA
"b_consider_fe_Brosinski6",-4.24289532291833,NA,NA,NA,NA
"b_consider_fe_Caligiuri2",5.03832832118048,NA,NA,NA,NA
"b_consider_fe_Caligiuri3",-27.5140151784937,NA,NA,NA,NA
"b_consider_fe_Caligiuri4",-7.64851870535525,NA,NA,NA,NA
"b_consider_fe_Caligiuri5",-22.0104939802863,NA,NA,NA,NA
"b_consider_fe_Caligiuri6",-4.69339294712659,NA,NA,NA,NA
"b_consider_fe_Cavani2",28.874346049293,NA,NA,NA,NA
"b_consider_fe_Cavani3",28.4793393197943,NA,NA,NA,NA
"b_consider_fe_Cavani4",19.8435699685554,NA,NA,NA,NA
"b_consider_fe_Cavani5",33.6151495299593,NA,NA,NA,NA
"b_consider_fe_Cavani6",21.7725487004982,NA,NA,NA,NA
"b_consider_fe_Cunha2",-8.33171868559531,NA,NA,NA,NA
"b_consider_fe_Cunha3",-5.37330173282514,NA,NA,NA,NA
"b_consider_fe_Cunha4",-18.1618683103606,NA,NA,NA,NA
"b_consider_fe_Cunha5",31.9235887341442,NA,NA,NA,NA
"b_consider_fe_Cunha6",19.7529372932221,NA,NA,NA,NA
"b_consider_fe_Duda2",-3.99363196463488,NA,NA,NA,NA
"b_consider_fe_Duda3",-4.80664362259299,NA,NA,NA,NA
"b_consider_fe_Duda4",17.775941839023,NA,NA,NA,NA
"b_consider_fe_Duda5",-2.60762831013967,NA,NA,NA,NA
"b_consider_fe_Duda6",18.8576170618581,NA,NA,NA,NA
"b_consider_fe_Dybala2",-12.2000006762712,NA,NA,NA,NA
"b_consider_fe_Dybala3",3.02563306797986,NA,NA,NA,NA
"b_consider_fe_Dybala4",-5.25645332351473,NA,NA,NA,NA
"b_consider_fe_Dybala5",7.71946717459364,NA,NA,NA,NA
"b_consider_fe_Dybala6",-3.79223172208093,NA,NA,NA,NA
"b_consider_fe_Eden_Hazard2",42.0864286191663,NA,NA,NA,NA
"b_consider_fe_Eden_Hazard3",-6.76649727998976,NA,NA,NA,NA
"b_consider_fe_Eden_Hazard4",23.3921616405425,NA,NA,NA,NA
"b_consider_fe_Eden_Hazard5",-1.0494234957664,NA,NA,NA,NA
"b_consider_fe_Eden_Hazard6",-14.2456367017437,NA,NA,NA,NA
"b_consider_fe_Fekir2",-16.8312195026778,NA,NA,NA,NA
"b_consider_fe_Fekir3",3.17813464106381,NA,NA,NA,NA
"b_consider_fe_Fekir4",-5.61857811851135,NA,NA,NA,NA
"b_consider_fe_Fekir5",-18.5915982416833,NA,NA,NA,NA
"b_consider_fe_Fekir6",-4.08762876986893,NA,NA,NA,NA
"b_consider_fe_Fernandes2",-17.4751833601249,NA,NA,NA,NA
"b_consider_fe_Fernandes3",1.32635779050806,NA,NA,NA,NA
"b_consider_fe_Fernandes4",-5.17696442697647,NA,NA,NA,NA
"b_consider_fe_Fernandes5",7.94854047472525,NA,NA,NA,NA
"b_consider_fe_Fernandes6",-3.08906978347525,NA,NA,NA,NA
"b_consider_fe_Finnbogason2",25.0481220673662,NA,NA,NA,NA
"b_consider_fe_Finnbogason3",-6.96561844920986,NA,NA,NA,NA
"b_consider_fe_Finnbogason4",14.5827589699628,NA,NA,NA,NA
"b_consider_fe_Finnbogason5",-5.87376016274488,NA,NA,NA,NA
"b_consider_fe_Finnbogason6",17.1861239900636,NA,NA,NA,NA
"b_consider_fe_Forsberg2",31.5788691606229,NA,NA,NA,NA
"b_consider_fe_Forsberg3",28.0503108676803,NA,NA,NA,NA
"b_consider_fe_Forsberg4",19.7879601835515,NA,NA,NA,NA
"b_consider_fe_Forsberg5",35.2766333532782,NA,NA,NA,NA
"b_consider_fe_Forsberg6",22.348867450129,NA,NA,NA,NA
"b_consider_fe_Füllkrug2",25.8787058495517,NA,NA,NA,NA
"b_consider_fe_Füllkrug3",24.2971795949354,NA,NA,NA,NA
"b_consider_fe_Füllkrug4",-20.8593653156889,NA,NA,NA,NA
"b_consider_fe_Füllkrug5",-7.1255918394128,NA,NA,NA,NA
"b_consider_fe_Füllkrug6",17.2683203188233,NA,NA,NA,NA
"b_consider_fe_González2",-4.05567797255543,NA,NA,NA,NA
"b_consider_fe_González3",-7.25301440263816,NA,NA,NA,NA
"b_consider_fe_González4",14.4266924019716,NA,NA,NA,NA
"b_consider_fe_González5",-6.28151199472068,NA,NA,NA,NA
"b_consider_fe_González6",15.4240738276979,NA,NA,NA,NA
"b_consider_fe_Griezmann2",5.33571446525195,NA,NA,NA,NA
"b_consider_fe_Griezmann3",3.77323365711361,NA,NA,NA,NA
"b_consider_fe_Griezmann4",-5.26870953675843,NA,NA,NA,NA
"b_consider_fe_Griezmann5",7.5742753580736,NA,NA,NA,NA
"b_consider_fe_Griezmann6",-4.06863912836481,NA,NA,NA,NA
"b_consider_fe_Grifo2",5.07677843395367,NA,NA,NA,NA
"b_consider_fe_Grifo3",3.07313266300823,NA,NA,NA,NA
"b_consider_fe_Grifo4",-6.20282430603193,NA,NA,NA,NA
"b_consider_fe_Grifo5",-15.8537004106145,NA,NA,NA,NA
"b_consider_fe_Grifo6",-3.74214676342155,NA,NA,NA,NA
