"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_player_position_MF2",-0.986830800011461,NA,NA,NA,NA
"b_player_position_MF3",-0.457438312978023,NA,NA,NA,NA
"b_player_position_MF4",-0.290787668399496,NA,NA,NA,NA
"b_player_position_MF5",0.39155218029124,NA,NA,NA,NA
"b_player_position_MF6",-0.101825536002197,NA,NA,NA,NA
"b_player_position_ST2",-0.883591740197704,NA,NA,NA,NA
"b_player_position_ST3",-0.132231490166345,NA,NA,NA,NA
"b_player_position_ST4",0.00636584222007309,NA,NA,NA,NA
"b_player_position_ST5",0.393139353640529,NA,NA,NA,NA
"b_player_position_ST6",-0.0310566412278623,NA,NA,NA,NA
"b_foot_R2",0.364973100498198,NA,NA,NA,NA
"b_foot_R3",-1.00361366053067,NA,NA,NA,NA
"b_foot_R4",-0.0397780277625806,NA,NA,NA,NA
"b_foot_R5",-0.420313073139283,NA,NA,NA,NA
"b_foot_R6",-0.597426820924134,NA,NA,NA,NA
"b_greak_gk_yes2",0.34501046086364,NA,NA,NA,NA
"b_greak_gk_yes3",0.389426252535998,NA,NA,NA,NA
"b_greak_gk_yes4",0.356516418262459,NA,NA,NA,NA
"b_greak_gk_yes5",0.678944223242222,NA,NA,NA,NA
"b_greak_gk_yes6",0.542986389185045,NA,NA,NA,NA
"b_location_A2",0.0469044496096686,NA,NA,NA,NA
"b_location_A3",0.488545466662782,NA,NA,NA,NA
"b_location_A4",0.281887786895527,NA,NA,NA,NA
"b_location_A5",0.433865787076181,NA,NA,NA,NA
"b_location_A6",0.0730174673444524,NA,NA,NA,NA
"b_location_H2",-0.0895663143057061,NA,NA,NA,NA
"b_location_H3",0.475729624774926,NA,NA,NA,NA
"b_location_H4",0.169304658410294,NA,NA,NA,NA
"b_location_H5",0.0768088682622158,NA,NA,NA,NA
"b_location_H6",-0.0912509645358422,NA,NA,NA,NA
"b_round_Final2",2.11256590656879,NA,NA,NA,NA
"b_round_Final3",2.0291246366611,NA,NA,NA,NA
"b_round_Final4",2.56644003493143,NA,NA,NA,NA
"b_round_Final5",-0.92833412683988,NA,NA,NA,NA
"b_round_Final6",0.940446474874733,NA,NA,NA,NA
"b_round_Group2",1.17020586299265,NA,NA,NA,NA
"b_round_Group3",1.18691057420731,NA,NA,NA,NA
"b_round_Group4",1.14086137856292,NA,NA,NA,NA
"b_round_Group5",-0.893652594836551,NA,NA,NA,NA
"b_round_Group6",-0.327702115526454,NA,NA,NA,NA
"b_round_KO2",-0.442841621891928,NA,NA,NA,NA
"b_round_KO3",-0.570537706249419,NA,NA,NA,NA
"b_round_KO4",4.54295393860927,NA,NA,NA,NA
"b_round_KO5",-1.14022413228678,NA,NA,NA,NA
"b_round_KO6",-1.92053483671218,NA,NA,NA,NA
"b_round_match_place_32",-2.00251968223308,NA,NA,NA,NA
"b_round_match_place_33",4.23497516031624,NA,NA,NA,NA
"b_round_match_place_34",3.23208224465167,NA,NA,NA,NA
"b_round_match_place_35",2.34919845510359,NA,NA,NA,NA
"b_round_match_place_36",-4.16259007754972,NA,NA,NA,NA
"b_round_Quarter-Final2",1.78443544155272,NA,NA,NA,NA
"b_round_Quarter-Final3",0.608852596110691,NA,NA,NA,NA
"b_round_Quarter-Final4",1.33110215678799,NA,NA,NA,NA
"b_round_Quarter-Final5",-1.29066207134195,NA,NA,NA,NA
"b_round_Quarter-Final6",0.137902407110811,NA,NA,NA,NA
"b_round_Semi-Final2",2.84954978440237,NA,NA,NA,NA
"b_round_Semi-Final3",2.45840378870553,NA,NA,NA,NA
"b_round_Semi-Final4",2.73777569117587,NA,NA,NA,NA
"b_round_Semi-Final5",-0.759281121110934,NA,NA,NA,NA
"b_round_Semi-Final6",0.714895459639412,NA,NA,NA,NA
"b_competition_grouped_Copa_America2",-2.92249279882468,NA,NA,NA,NA
"b_competition_grouped_Copa_America3",2.25372184383125,NA,NA,NA,NA
"b_competition_grouped_Copa_America4",-1.94513113104799,NA,NA,NA,NA
"b_competition_grouped_Copa_America5",0.829088422128456,NA,NA,NA,NA
"b_competition_grouped_Copa_America6",1.39537007651447,NA,NA,NA,NA
"b_competition_grouped_Cup2",0.460917075599887,NA,NA,NA,NA
"b_competition_grouped_Cup3",0.358188757098908,NA,NA,NA,NA
"b_competition_grouped_Cup4",-2.20033749204086,NA,NA,NA,NA
"b_competition_grouped_Cup5",0.425849111097759,NA,NA,NA,NA
"b_competition_grouped_Cup6",0.583795303888311,NA,NA,NA,NA
"b_competition_grouped_EL2",-0.993596052737135,NA,NA,NA,NA
"b_competition_grouped_EL3",0.916321923614884,NA,NA,NA,NA
"b_competition_grouped_EL4",-1.09333524674037,NA,NA,NA,NA
"b_competition_grouped_EL5",1.44441506820758,NA,NA,NA,NA
"b_competition_grouped_EL6",0.886992516684977,NA,NA,NA,NA
"b_competition_grouped_EM2",-0.0444524813801259,NA,NA,NA,NA
"b_competition_grouped_EM3",0.829364433886762,NA,NA,NA,NA
"b_competition_grouped_EM4",-1.86059914237534,NA,NA,NA,NA
"b_competition_grouped_EM5",0.599347645086413,NA,NA,NA,NA
"b_competition_grouped_EM6",0.51510127204583,NA,NA,NA,NA
"b_competition_grouped_League2",2.25177735174982,NA,NA,NA,NA
"b_competition_grouped_League3",2.10942599936935,NA,NA,NA,NA
"b_competition_grouped_League4",-0.0935996496734962,NA,NA,NA,NA
"b_competition_grouped_League5",0.455383424408674,NA,NA,NA,NA
"b_competition_grouped_League6",1.01482012009048,NA,NA,NA,NA
"b_competition_grouped_NL2",-3.2634236952066,NA,NA,NA,NA
"b_competition_grouped_NL3",0.706362187514289,NA,NA,NA,NA
"b_competition_grouped_NL4",-1.44883211217594,NA,NA,NA,NA
"b_competition_grouped_NL5",-2.33837734499245,NA,NA,NA,NA
"b_competition_grouped_NL6",0.667153858643304,NA,NA,NA,NA
"b_competition_grouped_Qualification2",0.796593741127355,NA,NA,NA,NA
"b_competition_grouped_Qualification3",1.60153993480322,NA,NA,NA,NA
"b_competition_grouped_Qualification4",-1.36931766421979,NA,NA,NA,NA
"b_competition_grouped_Qualification5",1.13556178765022,NA,NA,NA,NA
"b_competition_grouped_Qualification6",0.86418168192913,NA,NA,NA,NA
"b_competition_grouped_UCL2",1.12280216730484,NA,NA,NA,NA
"b_competition_grouped_UCL3",1.12254840658274,NA,NA,NA,NA
"b_competition_grouped_UCL4",-1.52491830217727,NA,NA,NA,NA
"b_competition_grouped_UCL5",1.557877429332,NA,NA,NA,NA
"b_competition_grouped_UCL6",1.23737718965395,NA,NA,NA,NA
"b_competition_grouped_WM2",0.102532740295104,NA,NA,NA,NA
"b_competition_grouped_WM3",1.02441634434323,NA,NA,NA,NA
"b_competition_grouped_WM4",-1.97730772147909,NA,NA,NA,NA
"b_competition_grouped_WM5",1.24640931046423,NA,NA,NA,NA
"b_competition_grouped_WM6",0.438341017741589,NA,NA,NA,NA
"b_competition_grouped_WMCUP2",-0.397465614350532,NA,NA,NA,NA
"b_competition_grouped_WMCUP3",-0.285241724289162,NA,NA,NA,NA
"b_competition_grouped_WMCUP4",3.99348980654675,NA,NA,NA,NA
"b_competition_grouped_WMCUP5",-0.604771916983892,NA,NA,NA,NA
"b_competition_grouped_WMCUP6",-1.63727140778833,NA,NA,NA,NA
"b_Importantness_Game_22",0.048333793687991,NA,NA,NA,NA
"b_Importantness_Game_23",2.87266355870759,NA,NA,NA,NA
"b_Importantness_Game_24",1.08590458240123,NA,NA,NA,NA
"b_Importantness_Game_25",1.17728278492749,NA,NA,NA,NA
"b_Importantness_Game_26",0.788293892854029,NA,NA,NA,NA
"b_Importantness_Game_32",-1.14222041866072,NA,NA,NA,NA
"b_Importantness_Game_33",2.87740331115056,NA,NA,NA,NA
"b_Importantness_Game_34",0.812041428316449,NA,NA,NA,NA
"b_Importantness_Game_35",0.995549276461275,NA,NA,NA,NA
"b_Importantness_Game_36",0.188483387249178,NA,NA,NA,NA
"b_Importantness_Game_42",-0.972189667759952,NA,NA,NA,NA
"b_Importantness_Game_43",2.88709717959348,NA,NA,NA,NA
"b_Importantness_Game_44",0.781265763081082,NA,NA,NA,NA
"b_Importantness_Game_45",0.851726582148033,NA,NA,NA,NA
"b_Importantness_Game_46",-0.0830320231948351,NA,NA,NA,NA
"b_Importantness_Game_52",-1.38658288043934,NA,NA,NA,NA
"b_Importantness_Game_53",1.43677147307612,NA,NA,NA,NA
"b_Importantness_Game_54",-0.858646825217978,NA,NA,NA,NA
"b_Importantness_Game_55",0.0883715217575243,NA,NA,NA,NA
"b_Importantness_Game_56",-1.24127370945047,NA,NA,NA,NA
"b_Penalty_type_Ingame2",0.670767272716687,NA,NA,NA,NA
"b_Penalty_type_Ingame3",-0.372028052693176,NA,NA,NA,NA
"b_Penalty_type_Ingame4",0.0557426233878193,NA,NA,NA,NA
"b_Penalty_type_Ingame5",-0.354174417659698,NA,NA,NA,NA
"b_Penalty_type_Ingame6",0.288559852171847,NA,NA,NA,NA
"b_minute_pars_12",0.131228230639423,NA,NA,NA,NA
"b_minute_pars_13",0.560592114933308,NA,NA,NA,NA
"b_minute_pars_14",0.361891640116191,NA,NA,NA,NA
"b_minute_pars_15",0.570400049143969,NA,NA,NA,NA
"b_minute_pars_16",0.30791482595292,NA,NA,NA,NA
"b_minute_pars_22",0.439638200581216,NA,NA,NA,NA
