"","asc_TL","asc_TC","asc_TR","asc_DL","asc_DR","b_foot1","b_foot2","b_foot3","b_foot4","b_foot6","b_moveGK1","b_moveGK2","b_moveGK3","b_moveGK4","b_moveGK6","b_GKS1","b_GKS2","b_GKS3","b_GKS4","b_GKS6","b_IS1","b_IS2","b_IS3","b_IS4","b_IS6","b_comL1","b_comL2","b_comL3","b_comL4","b_comL6","b_HGK1","b_HGK2","b_HGK3","b_HGK4","b_HGK6","b_dec1","b_dec2","b_dec3","b_dec4","b_dec6","b_lp1","b_lp2","b_lp3","b_lp4","b_lp6","b_latr1","b_latr2","b_latr3","b_latr4","b_latr6","b_ladr1","b_ladr2","b_ladr3","b_ladr4","b_ladr6","b_sr1","b_sr3","b_perc","b_rnog1","b_rnog2","b_rnog3","b_rnog4","b_rnog6","b_solsbg1","b_solsbg2","b_solsbg3","b_solsbg4","b_solsbg6","b_nmovGK1","b_nmovGK2","b_nmovGK3","b_nmovGK4","b_nmovGK6","b_def1","b_def2","b_def3","b_def4","b_def6"
"asc_TL",4.78808128120492,0.79760520629481,1.31991051477013,0.803233850459351,0.795495116145989,-0.0341111915534473,-0.0270355468231995,-0.0243585498815503,-0.0273966752457515,-0.0268499052314074,-0.225510413980121,-0.114886293001712,-0.116435139314215,-0.115375181277329,-0.114865039257997,-0.116862005985306,-0.0806422598803446,-0.0763873280670258,-0.0802083444251456,-0.0791289438444015,-0.08300145956753,-0.0660797606312375,-0.0664956985848053,-0..0673232159474402,-0.0681506001135712,-0.0662474215925426,-0.0564479027692805,-0.0550205810708365,-0.0560229335925429,-0.0564997782323303,0.0165605858145466,-0.00298717094300396,0.00110515056699943,-0.00325341795586367,-0.00295105117018118,-0.000695981121691863,-0.00820403983690902,-0.00580231377332031,-0.00715207266096164,-0.00662698153129132,-0.0103618108568996,-0.00274042473326556,-0.00252908377244802,-0.0036601961054686,-0.003349768359488,-0.0198307076387648,-0.0145118929808123,-0.0165003639646185,-0.0150628922975612,-0.0143198765047786,-0.00634103300968293,-0.00750344846652084,-0.00718064322232533,-0.00755228868437902,-0.008153739750487,-55.2640567646424,-17.090063150221,0.00316223577613407,-0.0723846685035389,-0.0514434268297254,-0.0525348398520157,-0.0518698828944393,-0.0524648407376696,-0.00337233009964895,-0.00118320941758728,-0.000115750315327692,-0.00137569790396126,-0.000811248462009548,-0.512802360669803,-0.258745931059961,-0.26191589371233,-0.260123626702091,-0.258967056068734,-0.027913252149082,-0.0149634641200337,-0.0151179089647167,-0.0150828263525967,-0.0148739315705807
"asc_TC",0.79760520629481,1.40573224840603,0.81270007074617,0.799840799899491,0.817303932033187,-0.0272382503109162,-0.0848333735222338,-0.0271251957359316,-0.0277896660760373,-0.0271860831231204,-0.11492821155357,-0.19167897617076,-0.117083879899263,-0.114455272679719,-0.117706905596833,-0.0799446835492167,-0.136033447802586,-0.0819697956612842,-0.080990902806527,-0.0832900074021454,-0.0668653067330324,-0.116524875244644,-0.0670574381099245,-0.0665987297252823,-0.067365164941643,-0.0560002223073901,-0.0972028155853485,-0.0560545679323835,-0.0560834834352303,-0.0562654814184033,-0.00315848015546211,-0.00698416597041842,-0.00314776429769241,-0.00319552102984148,-0.00318444762191136,-0.00647881201453676,-0.015693542782266,-0.00697718538400685,-0.0067090676038182,-0.0072310057961139,-0.00289355023468881,-0.00511923340011338,-0.00346938664474029,-0.00287653338131688,-0.00359013757620645,-0.0153243120587172,-0.0344349230650228,-0.0144221516470345,-0.0155984118312066,-0.0141365759149287,-0.00751440828352783,-0.019981907747311,-0.00740868273433411,-0.00759094696768408,-0.0079176478435092,0.0117564103034507,-0.0290675907385887,0.00106623744372834,-0.0509503350010285,-0.0836981026058683,-0.0515609876664235,-0.0509162605911506,-0.0516548394038611,-0.000826667630565782,-0.00257590042527182,-0.00144199858278453,-0.00102460672755504,-0.00142934066770515,-0.25872374224283,-0.43131190598284,-0.263450071592081,-0.257979599274775,-0.264545113969543,-0.0152308341614506,-0.0407075003995679,-0.0133601631470203,-0.0154542367092906,-0.0127462433377401
"asc_TR",1.31991051477013,0.81270007074617,5.01595557075403,0.799898105839024,0.815123963027886,-0.0269017163916986,-0.027852108880827,-0.0266800539317855,-0.0273609385592518,-0.027367483396554,-0.115726685757564,-0.117554347148525,-0.201686907554196,-0.114696896435531,-0.117477763902218,-0.0781329691430999,-0.0824456811909068,-0.0958534088541883,-0.0802264779868632,-0.0831538034014469,-0.0640823223295935,-0.0653321738991662,-0.0971797884681978,-0.0673038392032193,-0.0678702406275618,-0.0534559744458183,-0.0558750166039678,-0.0885068075976669,-0.0561151792183228,-0.0560783201295724,0.00106830102074889,-0.00303983354239851,0.0178824282361009,-0.003230212913566,-0.00304719996048203,-0.00612421484553389,-0.00872324356788493,-0.011496245622112,-0.00704457171504815,-0.00638059843610117,-0.00327754224084365,-0.00296167866781886,0.000989088202327664,-0.00313768760376333,-0.00456841462002355,-0.015077801751891,-0.0135564932034952,-0.0298374029770712,-0.0153135527968079,-0.0120732082725638,-0.00739576443387552,-0.0081516180864841,-0.011798238553419,-0.00763939052287438,-0.00828569584431815,-8.70347139972344,-120.272999825887,0.00163909143592812,-0.0494660231370407,-0.0513545469797071,-0.100289720540476,-0.0517483391227399,-0.0519684509378397,-0.00120674511677509,-0.00176704587792991,-0.00442110570766574,-0.00119824153468404,-0.00125431607189771,-0.260495404381123,-0.264118098700648,-0.453262117993567,-0.258570101629237,-0.264215320577702,-0.0145403188171492,-0.0133117434068474,-0.0256859366503288,-0.0151960914448935,-0.0136985233931149
"asc_DL",0.803233850459351,0.799840799899491,0.799898105839024,0.980680526880361,0.793122756686623,-0.0270331204856947,-0.0271913895040271,-0.0270627984345627,-0.0335704267223486,-0.0272252416828296,-0.115472648002177,-0.114509808846279,-0.114382854169291,-0.13976919886093,-0.113324618720841,-0.0808078561466237,-0.081126523218428,-0.0809866310794465,-0.0991034652693316,-0.0801124435748535,-0.0672067827878797,-0.0668721161247403,-0.0667961112286265,-0.0786696434381222,-0.0666316490236801,-0.0563325191097557,-0.0565892101904431,-0.0562764246425726,-0.0654252422368984,-0.0562023072429984,-0.00314963504332264,-0.00319036724598252,-0.00314655082375671,-0.0037669690458497,-0.00318557283071204,-0.0068433546773775,-0.00680390102207851,-0.0066850064897067,-0.00933269475502748,-0.00672122124289531,-0.00294917336401475,-0.00299709801829998,-0.00318419382784612,-0.00384568685692713,-0.00317265004023298,-0.0153502567163226,-0.0151718553305622,-0.014547696691538,-0.018034091414915,-0.0146563338627211,-0.00759131571766179,-0.00736959679770128,-0.00741180188355491,-0.00975672222155775,-0.00715867524894928,-0.00484419079500882,-0.0435495920025872,-0.00128257779994342,-0.051421737238788,-0.0517708260705233,-0.051441860636173,-0.0589086280183584,-0.051463885906571,-0.0010374280562292,-0.00121260059909413,-0.00133220814124908,-0.00168407941013627,-0.00152118572565741,-0.259982884287555,-0.257919442837778,-0.257859180184438,-0.318156662849129,-0.255771578206532,-0.0147409638816795,-0.0145807820221059,-0.0141968730098205,-0.0179682887591784,-0.0141399957271009
"asc_DR",0.795495116145989,0.817303932033187,0.815123963027886,0.793122756686623,0.91287424103398,-0.0271054661742754,-0.0273750420840177,-0.0272864736106684,-0.0271207215022791,-0.0330809937768072,-0.114621209826939,-0.11789388267029,-0.117574056291614,-0.113349632590223,-0.128974355295893,-0.079381831609726,-0.0828273257957109,-0.082318353816966,-0.0800465114793557,-0.0927337581614406,-0.067058259256673,-0.0670977899939557,-0.0673307108474928,-0.0670220812882156,-0.0802229103521474,-0.0562914147889643,-0.0560569911096036,-0.0564095206985093,-0.0561821923152868,-0.067382531089414,-0.00314516777535123,-0.00316037611213209,-0.0031673901846447,-0.00318439312120732,-0.00390591264672029,-0.00687316625076009,-0.00691398569652627,-0.00676737787620227,-0.00685325436293297,-0.00861761295845979,-0.00296801703674849,-0.00304021851525501,-0.00326711280550974,-0.00299681949845354,-0.00495248202845045,-0.0153382908946192,-0.0145577910496156,-0.0145206728617578,-0.0151749459222159,-0.0184651832197708,-0.00749907375376078,-0.00784459678739903,-0.0076496334745372,-0.00743444288042459,-0.00936764073639052,0.00926548530397643,0.00157537933620568,-0.00140935401525517,-0.0513773878941004,-0.0512217672062004,-0.0517271081858198,-0.051213260035794,-0.0612689449727898,-0.00103394820706485,-0.00119279275487197,-0.00139372261762599,-0.00121684430182818,-0.00204624692405365,-0.258023532405724,-0.265391793256055,-0.264515117989874,-0.255626827214529,-0.288415443780801,-0.0147973614852671,-0.0135728642569853,-0.0139334797485313,-0.0148439896467797,-0.0184290307261931
"b_foot1",-0.0341111915534473,-0.0272382503109162,-0.0269017163916986,-0.0270331204856947,-0.0271054661742754,0.0657104586071876,0.0352169808734555,0.0352637710385284,0.0351339988569339,0.0350692978897495,0.00316076232161567,0.00185292926895855,0.00194885387813826,0.00184697538082846,0.00189690160725581,-0.00192695532245112,-0.000968969876396576,-0.00111876899331265,-0.00100561474834305,-0.00102844507432267,-0.00809798359059604,-0.00513269372509688,-0.00485902331585034,-0.00506612900066109,-0.00489323420586218,-0.0049948254681691,-0.00320043289921361,-0.00270806435516248,-0.00306431906145392,-0.00282822426770295,-5.91760350764872e-05,-0.000135349773153654,-0.000150986797714796,-0.000139351666640975,-0.000146202270853476,0.00175809155021234,0.00108004583331864,0.000785503137835774,0.00109164442123302,0.000901665592342982,-0.00621762233082286,-0.00332643281765589,-0.00338517122305392,-0.00327329923962729,-0.00333352213734558,0.00845844607489776,0.00460199488850121,0.00445419711283654,0.00458508109775722,0.00440791573009091,0.00455669303629584,0.00240735904714786,0.00246905646817619,0.00241029306408003,0.00256039917476396,-0.31048955001038,-0.00783738938575917,-0.0005252706942704,-0.00673727600726791,-0.00409473298123657,-0.00365791978085129,-0.00398486927455057,-0.00375556972421119,0.001592046587434,0.00110734434981678,0.00100024011336701,0.00110071690615445,0.00104127222131612,0.00375366504787788,0.00222027911728353,0.00232613557566788,0.00220376143398959,0.00226404614697459,0..0096730913127843,0.00614810017521302,0.00583573776661201,0.00597589337472908,0.00588081755860421
"b_foot2",-0.0270355468231995,-0.0848333735222338,-0.027852108880827,-0.0271913895040271,-0.0273750420840177,0.0352169808734555,0.0981649432710706,0.0351504081428756,0.0355636560236835,0.0353766672559747,0.00182747420671908,0..00296411718096133,0.00202165076412179,0.00184267598181821,0.00191363211401337,-0.000985921165329159,-0.00126598844811811,-0.00111632803376172,-0.000991966434183682,-0.00106973485061507,-0.00508177743382818,-0.0101112329472292,-0.00487584223097713,-0.00517591012013455,-0.00500992275636029,-0.00307100982428756,-0.00511772743740522,-0.00277799379737894,-0.00309974860851067,-0.00293273103565336,-0.000142574694464351,-0.000296384168734057,-0.000148486944166161,-0.000142923419733534,-0.000145165708859671,0.000787784019774235,0.000783142667731091,0.00113538928916491,0.000790757330128001,0.000975230139907929,-0.00342334461435356,-0.00793777829231199,-0.00308007581046851,-0.00343660821544355,-0.00322493358106792,0.00462367802539401,0.0122075493443529,0.00404928683711696,0.00467426033498545,0.0042655015248348,0.00246291048118605,0.00551287061718038,0.00236953335646762,0.00246736446091121,0.00248313094329657,0.00234233214918298,0.00638969692925017,-0.000248904798539026,-0.00405593968804134,-0.00819767015101019,-0.00353332936315191,-0.00408260273932302,-0.00378163792559968,0.000952058631236873,0.00159162915379757,0.00125320354840043,0.000996865544279585,0.00115534733785648,0.00211540479649806,0.00407516564972437,0.00257129682536736,0.00217136402573313,0.00235534409781277,0.00638456596798062,0.0169191512324133,0.00539518291514773,0.00628115975752814,0.00565890873203487
"b_foot3",-0.0243585498815503,-0.0271251957359316,-0.0266800539317855,-0.0270627984345627,-0.0272864736106684,0.0352637710385284,0.0351504081428756,0.0568909235685516,0.0350903348188549,0.0352651602150968,0.00191221708525282,0.00192624234443557,0.00312404093494646,0.00190773894983837,0.00190764822475331,-0.00117590636154683,-0.00121812032440024,-0.000708307929195369,-0.00114620425858905,-0.00103003471877773,-0.00485984028984134,-0.0047055394325312,-0.0084610681722507,-0.00477393883179884,-0.00511643572126112,-0.00288262510016744,-0.00290889850262538,-0.00455774440448801,-0.00292525496030615,-0..00289434285913424,-0.000126451196055708,-0.000144800015999523,-7.12141901537935e-05,-0.00014649362822084,-0.000139625465037446,0.00108499587320185,0.00115864067731192,0.00165622424320166,0.000975481835566501,0.000917965847613627,-0.00341594173606958,-0.00335507158335374,-0.00616121664668969,-0.00350310101735408,-0.00327619127680504,0.00463689746596279,0.00469767468827127,0.00819821867253934,0.0045333601604479,0.00426552546190681,0.00241120839121534,0.00233803736414396,0.0045874548694792,0.00239487345476477,0.00223416113186707,-0.0451617771757121,-0.540469561843587,0.00139069535101065,-0.00376705356060604,-0.00373063012579115,-0.00655581184716334,-0.00378853075286242,-0.00388909863707804,0.00101283855886769,0.00100812218507634,0.00187858203082005,0.00101135781560798,0.00114137450932843,0.00231106179482802,0.00240518181930672,0.00335676000357592,0.00229490166428023,0.00228793238926864,0.00605499818959906,0.00589852778720265,0.00950695129254633,0.00607320608432941,0.00581940351427517
"b_foot4",-0.0273966752457515,-0.0277896660760373,-0.0273609385592518,-0.0335704267223486,-0.0271207215022791,0.0351339988569339,0.0355636560236835,0.0350903348188549,0.0429640275297245,0.0351819205758856,0.00192330808427751,0.00199660124090423,0.00179735546894967,0.00206073731335961,0.00186570231708873,-0.00104258024649947,-0.00105356070967262,-0.00100399394299895,-0.00107754144417125,-0.000997483230461777,-0.00488955032688874,-0.00497217273907501,-0.00508533600012445,-0.00585247618832826,-0.00501881430744152,-0.0030036749061061,-0.00307039794707097,-0.00291199435299772,-0.00357278124773962,-0.00295001345407014,-0.000144899637717618,-0.00014933026977453,-0.000142726290275523,-0.000163099290278375,-0.000143561937504065,0.000949080105047393,0.000917251702758594,0.000908425002967854,0.00104923188731261,0.000918490639525695,-0.00332058170838657,-0.00339951613512507,-0.00331643693553146,-0.00392420806433816,-0.00332027668014276,0.00458178795078034,0.00469538438630078,0.00439687082407865,0.00554807908143498,0.00439450417757288,0.00244938790324089,0.00249702362731515,0.00235960294504015,0.00292030750263295,0.00256758953439735,0.00229310507808646,0.0180865471063812,-0.000754375980863306,-0.00394321893142504,-0.00400965636007753,-0.0037765253107178,-0.00473736166942643,-0.00383933967029395,0.000971335493296134,0.000937688269675152,0.00118694358179225,0.00111391945802983,0.00109718318628089,0.00231039926867656,0.00242803309068144,0.00212349602323905,0.00250388054766313,0.00225114512752234,0.00610832148828796,0.00628774797912411,0.00576894673296136,0.00733004556937069,0.00584680356531325
"b_foot6",-0.0268499052314074,-0.0271860831231204,-0.027367483396554,-0.0272252416828296,-0.0330809937768072,0.0350692978897495,0.0353766672559747,0.0352651602150968,0.0351819205758856,0.0423166060311147,0.00184217487603565,0..00179618756691498,0.00199851854019693,0.00185904738036983,0.00225139742910262,-0.00106255404042449,-0.0010418691042972,-0.00104819042444385,-0.001037262941415,-0.00102994953923736,-0.00493733716873883,-0.00491965471651737,-0..00508806039200059,-0.00483784086021137,-0.00606526801440677,-0.00289066486732819,-0.00296478758412909,-0.00287119632831699,-0.00294206285147513,-0.00356676704407321,-0.000139743303495593,-0.000135544265134522,-0.000152077320733356,-0.000140283359649687,-0.000170866608411667,0.00099227303182966,0.00095640086543546,0.000921851836453681,0.00085883518018499,0.00108010423163459,-0.00334500041967089,-0.0032865670909258,-0.00327670226220181,-0.00346288248329382,-0.00412365843101288,0.00453266552707213,0.00459898338908161,0.00394450931037805,0.00444825798270283,0.00560896593584891,0.00244572332962363,0.00243436524134415,0.00255504434078776,0.0024390118884759,0.0027340885387959,-0.000965213516219826,0.000117883889903345,0.0014861353758648,-0.00385602112381233,-0.00395586385279179,-0.00377878547772702,-0.0038817422807942,-0.0046925183700923,0.00100239741979498,0.00101659344214822,0.00117058718245074,0.00100150573074052,0.00126391104007827,0.00214999526761073,0.0021149739647921,0.00248337072800254,0.00219774583682748,0.00285647569778163,0.00604302602918682,0.00595559834306969,0.00569204229188746,0.0060940311135007,0.00741929550976717
