"","asc_TL","asc_TC","asc_TR","asc_DL","asc_DR","b_foot1","b_foot2","b_foot3","b_foot4","b_foot6","b_moveGK1","b_moveGK2","b_moveGK3","b_moveGK4","b_moveGK6","b_GKS1","b_GKS2","b_GKS3","b_GKS4","b_GKS6","b_IS1","b_IS2","b_IS3","b_IS4","b_IS6","b_comL1","b_comL2","b_comL3","b_comL4","b_comL6","b_HGK1","b_HGK2","b_HGK3","b_HGK4","b_HGK6","b_dec1","b_dec2","b_dec3","b_dec4","b_dec6","b_lp1","b_lp2","b_lp3","b_lp4","b_lp6","b_latr1","b_latr2","b_latr3","b_latr4","b_latr6","b_ladr1","b_ladr2","b_ladr3","b_ladr4","b_ladr6","b_sr1","b_sr3","b_perc","b_rnog1","b_rnog2","b_rnog3","b_rnog4","b_rnog6","b_solsbg1","b_solsbg2","b_solsbg3","b_solsbg4","b_solsbg6","b_nmovGK1","b_nmovGK2","b_nmovGK3","b_nmovGK4","b_nmovGK6","b_def1","b_def2","b_def3","b_def4","b_def6"
"asc_TL",1,0.188137100989001,0.206144151163164,0.269490289640712,0.289866274661149,-0.0597321461177181,-0.158784016879183,-0.0690129868803862,-0.0328975660953538,-0.13899594956767,-0.477854404018048,-0.238125535981745,-0.231601575268078,-0.287404749529029,-0.222933250680077,0.0113767810033839,0.0632099955557636,-0.0347961106437025,0.0169671006020233,-0.00715249575754226,0.0663070509427084,0.160877037246854,0.0863705380200628,0.171377721097585,0.0946264646739037,0.084089057450744,0.146882871410029,0.159049835524854,0.138707352699329,0.10025554570855,0.26023967377438,0.142026733525184,0.0828285043015916,0.0408972424107389,0.060051511455454,0.127125474312748,0.110594583043927,0.176544473830845,0.195523153899153,0.175706185942463,-0.0793958861024289,0.0588960164298889,-0.0195660916123493,-0.0346012954165518,-0.0347239294325031,0.0540026458459576,-0.00497182151558472,0.0670660035695657,0.0869253005774591,0.0518514715621153,0.0284635814122247,-0.0283195728112949,-0.0640515586600284,-0.11345311510134,-0.0707664284724962,-0.817458749638786,-0..0500679929956244,-0.0377088761530255,0.147643277684137,0.089801760103978,0..130608732651352,0.119559818060189,-0.0132908836144129,-0.0570679981719082,-0.104315167509641,-0.0863006904666585,-0.195613405491687,-0.138738115637904,-0.478365389947001,-0.290193496617632,-0.29861889996907,-0.346991487386246,-0.3027934828303,0.0537169778804675,0.042243818869131,-0.00499907086965035,0.0714334053843969,0.0870503818710323
"asc_TC",0.18813710098888,1,0.38487797104656,0.55019349341497,0.678263260724129,-0.201226422486425,-0.413959324370679,-0.0887737306507495,-0.172061470075229,-0.107239649648832,-0.412667453208933,-0.619769427278272,-0.487904885326032,-0.416376029886682,-0.42229108962133,-0.17996522898529,-0.128589976512793,-0.229313574203882,-0.129849316571581,-0.239150480909606,0.00879925343130258,-0.193197556824894,-0.174552975283807,-0.122175352914325,-0.145383880685385,-0.147257483414455,-0.340690443384113,-0.382357011112613,-0.314339489850475,-0.328896695328468,-0.0389234810180873,-0.370449258024059,0.0132572563503837,0.0469682361991727,-0.0723521866047417,-0.0168363615456224,0.150103038428147,0.0970451420152042,0.0168567736824543,0.0376993882733889,0.0386924903041266,-0.0366957396865617,0.0106878217948533,0.0317725712742683,-0.0278576051650472,0.00900962519766819,-0.168524968897539,-0.00638642206777216,-0.00437721519638851,0.0708670308523422,-0.0945131850893885,0.015122720232748,0.0439059923819824,-0.0870144284261578,-0.0297250162061296,0.156865006498938,0.0672886491391468,-0.151621359279602,-0.196176858826411,-0.406189547439543,-0.289314704427954,-0.243543889233778,-0.248716469995744,-0.104022650142124,-0.0897190188644402,-0.115117279234955,-0.0882187429558192,-0.0788204940117543,-0.408127293252302,-0.634161930037451,-0.48690191787862,-0.416072552538655,-0.398985926077011,-0.00288380580940389,-0.341762498806509,0..0128068982278748,-0.132356202636556,0.0106205228802799
"asc_TR",0.206144151162954,0.384877971046439,1,0.377923803420421,0.408172789265174,-0.11421590722824,0.108450634530493,0.0636552909219772,-0.0507173274562778,-0.0605861573579297,-0.410467279540127,-0.312946022154692,-0.406177438615143,-0.428793980397989,-0.359886909104588,-0.105841896953567,-0.106572657753968,-0.319827053722822,0.0141613105442178,-0.096879694275211,-0.00488467645157379,-0.132889211880593,-0.081000449710888,-0.025023465543382,-0.0403519636167523,-0.0460799056826178,-0.225814440046732,-0.192771394545937,-0.110250596504074,-0.0987599569213264,-0.0499066956642357,0.0943031027403332,0.349468195170998,0.130754131332243,0.00242293154612308,-0.136508813573211,0.177015702704082,0.23524625224896,0.0436588045165116,0.0261103186848338,0.0417744904928534,0.0683536609051283,0.260793379710766,0.15652089370349,0.0411394234397989,0.0357904060790071,-0.105672639192398,-0.187727731492986,-0.0796709644102381,0.0564923101210652,-0.165848556726788,0.0738034522052119,-0.0939173008757212,-0.089806570848718,-0.0901552140439477,0.0739939724035675,-0.788568580477231,0.178597738074976,-0.0105162275906105,-0.189682762707023,-0.0623014815103051,-0.0747866639011593,-0.152523962546967,-0.0529118194299272,-0.0144502200159817,-0.064398155632129,-0.0464396278395249,-0.0161240464916869,-0.3873697484832,-0.340053184165329,-0.32530467885864,-0.426569405911657,-0.326121302307167,0.0896824683749506,0.052255306636486,0.0505265858001292,0.0423557599853658,0.0672629983831569
"asc_DL",0.269490289640425,0.550193493414942,0.377923803420543,1,0.514178162024246,-0.147312583736054,-0.0867625387067767,-0.15084705536318,-0.133441820794541,-0.155398836063121,-0.417424397327874,-0.285807466118479,-0.455224172014331,-0.741250896522705,-0.244751950238768,-0.29399966404042,-0.221582343420467,-0.392107986615613,-0.363918607535402,-0.257850083706576,-0.0617116526160947,-0.103431605489149,-0.0854842652615289,-0.0711252274241497,-0.117440313134161,-0.174162510521191,-0.323432953629598,-0.279071937063918,-0.295879834670747,-0.276092966918169,-0.0969480505625357,-0.0998579804493606,0.0357248852551202,0.0174665703479293,-0.131936720239411,-0.026865714424773,0.0684269529658356,0.0923984444464523,-0.0137291044622631,-0.0113930285248995,-0.0612487391646332,0.0150613914805739,-0.0495621385264297,0.058805833628533,-0.0919858008996947,0.111078660207224,-0.0345715996877563,0.0320407960925709,0.034259798421194,0.0865273828029692,-0.0578703155792929,0.0245405979721965,0.0757772902047754,-0.185439428448598,0.0195736543479222,0.138951037721919,0.0804051480931345,-0.168521250902824,-0.11662442721629,-0.148191719777845,-0.0975104966646229,-0.110689939396324,-0.0673612621607554,-0.0368659367730122,-0.115562511011614,-0.110091209681399,-0.179391653292819,-0.0781936607032492,-0.438749248166764,-0.316640543021651,-0.414465256100507,-0.78147699442618,-0.208512265337446,0.138790654893227,0.0475085841478359,0.0428858884869859,0.135487172281978,0.14385860231099
"asc_DR",0.289866274660768,0.678263260724068,0.408172789265244,0.514178162024229,1,-0.218868984353619,-0.124326647811087,-0.152858678856172,-0.105348176019363,-0.139474396189905,-0.511250391251961,-0.424427122214261,-0.48572462200961,-0.388543302410688,-0.657996406162795,-0.239026987695198,-0.164816204115451,-0.306197116444377,-0.109249777610129,-0.286098426976959,-0.116140821876809,-0.220246158651156,-0.190151604139635,-0.194153594057122,-0.231188492671179,-0.111789423704294,-0.306003764356768,-0.312311462724281,-0.339253745921159,-0.363460320923093,0.0294402368638193,-0.0922851720103057,-0.00759540048708179,0.0815329522703858,0.0554461241731447,-0.0234770714144205,0.118076228081744,0.0849810606193546,-0.06773308381781,-0.00452523033299362,-0.0159914117409263,0.108096813435727,0.00251131638485045,0.0702132384391455,0.0519600258586138,-0.00944912557866112,-0.0206580190887036,-0.00821265064431043,-0.014223226861104,0.00185178067761212,-0.0773944932548869,-0.0991431465201527,0.0312271740906747,-0.126041243163394,-0.128681467000186,0.166290841524096,0.0956149875211985,0.00334973887943419,-0.237588485922585,-0.379242867760101,-0.267993053491216,-0.309666103286765,-0.356058685805998,-0.0906489038989461,-0.0995749392388464,-0.0866878741204281,-0.0928042887371025,-0.0830695292611568,-0.539772477293539,-0.450787040119379,-0.506283487348714,-0.39332337888023,-0.687024886126199,0.0811395881276168,0.0749316220487665,0.00550662986720817,0.0872207103278835,0.0950336734393063
"b_foot1",-0.0597321461176815,-0.201226422486407,-0.114215907228228,-0.147312583736041,-0.218868984353615,1,0.422521888939064,0.693729823009817,0.702547634553979,0.766375728301918,0.113910569654896,0.278628191194287,0.120512114815364,0.14331815617652,0.124114739089891,-0.0585178813496531,-0.173290986896267,-0.0194036156828631,-0.149040587202007,-0.0958881158916026,-0.0752894003641203,-0.00196989199359673,-0.00420038276417272,0.0183971894828107,0.0288115885624994,0.0122070905827829,0.0776990463267315,0.136946320487159,0.196116199448068,0.131244610348804,-0.239527008997542,-0.199273539388519,-0.213043614658647,-0.242029581651921,-0.181472151696745,0.00933473476753045,-0.131623759136377,-0.0747459571698926,-0.066355995451733,0.0177748822307277,-0.270596903630407,-0.293640777291866,-0.287972921886007,-0.306417100973317,-0.265160544025481,0.310966125567009,0.179414060028032,0.235996449810208,0.257792413271439,0.214343815117466,0.119205375577446,0.137088726588502,0.17560258284602,0.197573084803886,0.242087332556935,-0.0599119052717838,-0.0441260273356509,0.0879595411412242,0.0482159986608438,0.125367472664714,0.211112093565774,0.223569485571022,0.187875562520993,0.061854645464994,0.0271178107105453,0.0772017063942837,0.0767124653107358,0.0344556690923144,0.138266954717441,0.272511376363474,0.172790401027685,0.16338160728963,0.156166584428884,-0.0692755628805311,-0.0221915351320867,0.0113428369205577,-0.070385247333074,-0.103017735241977
"b_foot2",-0.158784016879155,-0.413959324370691,0.108450634530469,-0.0867625387067904,-0.124326647811112,0.422521888939065,1,0.455871366647544,0.463676142000764,0.465833966137578,0.072454765991211,0.281598945851375,0.163804055260673,-0.0193884971093679,0.0751246799881063,-0.22200637700676,-0.217275850664391,-0.297275129840603,0.00204173054566332,-0.102383730147868,-0.0935386962436121,-0.0834700541506912,-0.0289401973116988,-0.099918979340166,-0.0711614624097024,-0.0296622895567307,-0.108116396493945,-0.0432790070478751,-0.031708514491317,-0.0444674836564934,-0.128830520680755,0.200007997706176,0.0751828386621512,-0.0397659351323374,0.0360910075487936,-0.0431448191473596,0.0996517809405655,0.0602799614552163,0.0220458069018931,-0.0101391355764122,-0.225163974221152,-0.209237315051791,0.0153730301623834,-0.171848656473441,-0.242895573659661,0.160978662055839,0.205191186439903,-0.0312846326397459,0.0801868176682217,0.182049216228752,0.0553003821815942,0.211312000728677,0.0388474145349061,0.207219513125767,0.180211053635177,0.191875619384102,-0.215300555917567,0.200611503320232,-0.0313595765643054,0.0187114376286447,-0.017494058990597,-0.0308998919885872,-0.0902997281563038,0.0275930735663363,-0.0303039304447484,0.00118494797588725,0.0476231208191287,0.0120558911540055,0.125172788844644,0.31704433876067,0.27685414917269,0.0574337655608975,0.139163751973778,-0.0329483238776912,0.264495163678967,0.000267578830011531,0.0549899811586929,-0.0412953031655264
"b_foot3",-0.0690129868803551,-0.088773730650732,0.063655290921982,-0.150847055363162,-0.152858678856166,0.693729823009817,0.455871366647542,1,0.713634682647554,0.776224708867405,-0.0475753386333714,0.00841388727589395,-0.0478572245566853,-0.0251198269660046,-0.0350183578630089,0.0106796228523771,-0..00950952459971773,-0.00759979678349198,0.0749235778858296,-0.00549521718045659,-0.0715891672475829,-0.0118066408500372,-0.0591588450651264,0.0141352298008407,0.039754837806995,0.0286467806201114,0.101607401896457,-0.023688078346286,0.116093192074838,0.0762260884204617,-0.289480654015518,-0.123239797411967,-0.184356768541519,-0.24281492263219,-0.179785861860579,-0.000322655003809358,0.0581990643330738,0.0536875249428566,0.0108874133658542,0.0490722933936658,-0.268343982671899,-0.287540392302713,-0.20665879568694,-0.310468626349316,-0.28454658918683,0.187168649337671,0.0809179171205872,0.0995313354317273,0.185554930459457,0.207565920374481,0.144345325280491,0.228434982628259,0.184571649129382,0.246093843472029,0.234914099416174,0.0141056436181701,-0.157237113517746,0.284723088732718,0.0163769833261744,0.0282278130038066,0.0114491910604263,0.114139885525767,0.061817308044259,0.0226361657920225,-0.0319996314026877,-0.0521987727011315,-0.0288691349828041,-0.0467804318986687,0.0556496201606642,0.0411232591514923,0.0283907401001902,0.0526967884133643,0.04382141990175,4.5770094000534e-05,-0.0237131200615609,0.139225425563639,-0.0263299831024927,-0.0220218684136627
"b_foot4",-0.0328975660952994,-0.172061470075201,-0.0507173274562718,-0.133441820794519,-0.105348176019353,0.702547634553981,0.46367614200076,0.713634682647556,1,0.876154775669247,0.00147927906709262,0.143907100781809,0.0658570878056763,0.0819433579653686,0.0503422279014108,-0.00484374574710943,-0.0815963718152551,-0.00760168310381095,-0.0600607057934026,-0.0684102072578786,-0.130605169528941,-0.0759242386443969,-0.110650106831881,-0.156378712004905,-0.111677497457877,-0.0156484636857781,0.0376632308651009,0.0354633892074919,0.0346727477444761,0.00126612816332792,-0.17796387742803,-0.0697512697635647,-0.214567829605609,-0.21009420947655,-0.106664401055979,0.054468172104339,0.00173397038454442,-0.0738407435789272,-0.0216418586002179,0.0282815873703895,-0.236820715479834,-0.153643380876551,-0.220751923223596,-0.256508683225407,-0.219092555374902,0.264580305020697,0.122465551503292,0.223250389461809,0.288158204128991,0.225000358884296,0.00712338354792516,0.0986049995992963,0.0915904653242918,0.08028645263785,0.103428825674779,-0.00656893172113201,-0.0121224435622238,0.147775099507914,-0.0986663704462306,-0.0223192989319929,-0.00353301564309322,-0.0332213914822629,-0.0425976915141855,0..0490089171739121,0.0125415598614616,0.0616956081640286,0.0974885345253909,0.0471640740109807,0.0307465945688031,0.171845334488272,0.0494234518871563,0.0967190162578331,0.0447040555321115,-0.0682527905005155,0.0312539965778311,-0.0263875577836292,-0.0280076618136586,-0.0830513704159867
"b_foot6",-0.138995949567646,-0.107239649648819,-0.0605861573579466,-0.155398836063114,-0.139474396189921,0.766375728301916,0.465833966137575,0.776224708867406,0.876154775669247,1,0.0672855499177027,0.163572260837569,0.00528617558625259,0.0853151435369312,0.00508528358782902,-0.0414543390646768,-0.119077800953726,-0.00346202413699519,-0.0447214049290021,-0.0584311056985741,-0.137132883929245,-0.117030283111448,-0.0991019919051035,-0.114301236409729,-0.0937407005612935,-0.118530912103295,-0.0756437171932654,-0.0485705841589652,-0.0106430869653769,-0.0604905564763607,-0.289910069939915,-0.17988658088741,-0.205788497102136,-0.258684615647436,-0.15110069547393,0.0285323927763652,-0.0416411113337836,-0.0747689322415548,-0.0344356076357981,0.0201665034211104,-0.293881129925066,-0.259124062073443,-0.320178771663486,-0.324338204643491,-0.275125694144917,0.221206120575719,0.0988879696906786,0.210888215321331,0.251575560119406,0.204913724731735,0.152878783540857,0.191438131362093,0.26616523416153,0.22777052371475,0.270269023677615,0.0943893937891909,-0.0131828157356515,0.172641860127367,-0.149134005674807,-0.0677830890366783,-0.00487363937057722,0.00996967740188724,-0.0175461359868927,0.00485951396666049,-0.0112791282914335,0.0321503367846515,0.0531549035782876,0.00858146729446992,0.118074116940693,0.190077305643493,0.0647973978628873,0.144844948437577,0.0731599013137103,-0.0762793650976837,-0.0129758011163145,0..00530820252065892,-0.0612913243865481,-0.0968550568720392
