"","asc_TL","asc_TC","asc_TR","asc_DL","asc_DR","b_foot1","b_foot2","b_foot3","b_foot4","b_foot6","b_moveGK1","b_moveGK2","b_moveGK3","b_moveGK4","b_moveGK6","b_GKS1","b_GKS2","b_GKS3","b_GKS4","b_GKS6","b_IS1","b_IS2","b_IS3","b_IS4","b_IS6","b_comL1","b_comL2","b_comL3","b_comL4","b_comL6","b_HGK1","b_HGK2","b_HGK3","b_HGK4","b_HGK6","b_dec1","b_dec2","b_dec3","b_dec4","b_dec6","b_lp1","b_lp2","b_lp3","b_lp4","b_lp6","b_latr1","b_latr2","b_latr3","b_latr4","b_latr6","b_ladr1","b_ladr2","b_ladr3","b_ladr4","b_ladr6","b_sr1","b_sr3","b_perc","b_rnog1","b_rnog2","b_rnog3","b_rnog4","b_rnog6","b_solsbg1","b_solsbg2","b_solsbg3","b_solsbg4","b_solsbg6","b_nmovGK1","b_nmovGK2","b_nmovGK3","b_nmovGK4","b_nmovGK6","b_def1","b_def2","b_def3","b_def4","b_def6"
"asc_TL",3.71783629667303,0.494860654672489,0.738132737964474,0.638514741561097,0.549222049116758,-0.0289278476552002,-0.109461053558314,-0.0364848557300217,-0.0139010498270553,-0.059947540362187,-0.229308434754044,-0.147427607742442,-0.111184512025437,-0.158092049517721,-0.104885779762702,0.00888406729099947,0.0510116807282782,-0.0252133463058805,0.011741615557626,-0.00450355416891209,0.0751920437559638,0.208807387941181,0.0944826725406386,0.166226326048884,0.0927313073293522,0.0522674389049261,0.123482507410782,0.125476395295999,0.0881481588766883,0.061658729466615,0.0118505076675091,0.00814660090161212,0.00484601043106847,0.00155187637186153,0.00227994210688765,0.0985856540063891,0.166985468616332,0.136613835135039,0.135502000999942,0.123668499728517,-0.0444357882115243,0.033590535263341,-0.0111720477831978,-0.0164015785454519,-0.0176497597294081,0.0455554900412267,-0.00431975247550751,0.0503183949546782,0.0574102593958575,0.0350275653906065,0.0128510300340027,-0.0141495868109156,-0.0317583432554336,-0.0417189459372463,-0.0286049826026009,-45.3140298575769,-4.97455985480958,-0.0101567607054181,0.121749796526271,0.102692915987064,0.123278928133706,0.0903709202129005,-0.0108095159936125,-0.030958390872908,-0.0737548554101978,-0.0439676439598886,-0.0953682410270808,-0.0671386117346711,-0.464294070064923,-0.352479610831818,-0.301924317176512,-0.365236673151032,-0.276246593320029,0.0431491056108066,0.0570862853041129,-0.00346695400141744,0.0565345865276395,0.0675025088939759
"asc_TC",0.49486065467217,1.86091566725028,0.975000233130577,0.922277199052565,0.909215400138143,-0.0689463410928222,-0.201896468987329,-0.0332035481392602,-0.051438189685797,-0.0327222248860905,-0.140101527159599,-0.271469605330947,-0.165712842402347,-0.162039175017492,-0.140563283988803,-0.0994258377727894,-0.0734191250579881,-0.117556802226873,-0.0635737902287365,-0.106533759954855,0.00705953697719245,-0.177407365103203,-0.135092741395275,-0.0838392258492918,-0.100797146922181,-0.0647570900055682,-0.202634062622145,-0.213410646806117,-0.141328881303952,-0.14310799285525,-0.00125398787620556,-0.0150332640621777,0.000548752351574412,0.00126091427400879,-0.00194343380140851,-0.00923735413054035,0.160343929355345,0.0531291135701542,0.00826494913712699,0.0187726057048067,0.0153207415071414,-0.0148069245713625,0.00431753752061525,0.010655255472914,-0.0100177900574653,0.00537713107879981,-0.103591901050232,-0.00339000378776945,-0.00204531131498039,0.0338696975191807,-0.0301897146600247,0.00534570750852384,0.0154017527845893,-0.0226373918554666,-0.00850070069146794,6.1519263323946,4.72992769885655,-0.0288928399399736,-0.114451254426599,-0.328626510321554,-0.193199214431657,-0.130238357607748,-0.143111704146104,-0.0399237997978369,-0.0448792805702784,-0.0414932693345296,-0.0304287588516539,-0.0269857151861701,-0.280251044450779,-0.544960100537265,-0.34828959580503,-0.309843820853645,-0.25752903397719,-0.0016388698054875,-0.326746717140631,0.00628377981627148,-0.0741097552570587,0.0058265750877215
"asc_TR",0.738132737963719,0.975000233130272,3.44855087976449,0.862393037010914,0.744847752660599,-0.0532730772586791,0.0720042488652812,0.032410781572139,-0.0206401752145899,-0.0251660943155828,-0.189703859819572,-0.186601646280514,-0.187798348771601,-0.227163188688615,-0.163072601469775,-0.0796018650912619,-0.0828328982187164,-0.223196906260682,0.00943836690008249,-0.0587494396947613,-0.00533483714589424,-0.16611724286258,-0.0853389238246312,-0..0233757786315152,-0.0380847955482142,-0.0275852233501577,-0.182834935620079,-0.1464686187343,-0.0674788850243645,-0.0584978959189228,-0.00218874644276958,0.00520961358763023,0.0196917979095722,0.00477850123246649,8.85960191723206e-05,-0.101956522694358,0.257412602219582,0.17532201614599,0.0291402008964119,0.0176993533910907,0.0225174515652825,0.0375461983511397,0.143416279502781,0.0714560155851893,0.0201391585475174,0.0290780646368593,-0.0884258156195351,-0.135651928251531,-0.0506776619018239,0.0367545735518202,-0.0721162737272862,0.035514599725121,-0.0448483971263104,-0.0318052053080806,-0.035097682953965,3.95035722977665,-75.4583204658974,0.0463298370856137,-0.00835194700573975,-0.208908779083125,-0.056635429185711,-0.0544428443961287,-0..119471319569391,-0.0276446835865508,-0.00983990268207095,-0.0315984326050862,-0.0218055515809801,-0.00751491018487212,-0.362103127084257,-0.397801446612606,-0.316770185341865,-0.43243262226769,-0.286551550663157,0.0693810658623269,0.0680099099584146,0.0337483019681259,0.0322848320858695,0.0502341021660671
"asc_DL",0.638514741560418,0.922277199052517,0.862393037011193,1.50995968268707,0.620871102560178,-0.0454658582654096,-0.0381173442832191,-0.0508225193928649,-0.0359346430529028,-0.042712454555365,-0.127655581987841,-0.112767502402167,-0.139272587473717,-0.259847692589512,-0.0733846906440431,-0.146310946375078,-0.113961083139588,-0.181068547685089,-0.160495192507099,-0.103467177687544,-0.0445981555110786,-0.0855544514711276,-0.0595950614299823,-0..0439649572211359,-0.0733446621578595,-0.0689896523167091,-0.173283055241953,-0.140308027895531,-0.119830307617988,-0.108212904540781,-0.00281345565697579,-0.00365028408404796,0.00133202664511668,0.000422384795549432,-0.00319229563960653,-0.0132775233456898,0.0658429938234218,0.0455661944838442,-0.00606355426034971,-0.00511032792741046,-0.0218458820892728,0.00547436366252687,-0.0180350056727419,0.0177644286803933,-0.0297967070272186,0.0597164333803296,-0.0191425747870849,0.0153202267850597,0.0144200131201396,0.0372511751754043,-0.0166510563060956,0.00781411403985021,0.0239444436635711,-0.0434566782372919,0.00504224413291843,4.90869647321273,5.09114982980061,-0.028927030243421,-0.0612888727987127,-0.107998349730726,-0.0586550685945424,-0.053319878720302,-0.0349140438993349,-0.0127452558698651,-0.0520712100653778,-0..0357444905616655,-0.055737172716457,-0.0241149105280815,-0.271385922389635,-0.245103995401826,-0.267058543386776,-0.524214825731473,-0.121232638819723,0.071049004313671,0.0409145937947143,0.0189544305826519,0.068335848124026,0.071092308169883
"asc_DR",0.549222049116036,0.909215400138061,0.744847752660726,0.620871102560158,0.965628971177959,-0.0540197086459196,-0.0436794413850715,-0.0411843222081416,-0.022686675787425,-0.0306565815489371,-0.12503111449217,-0.133917085449677,-0.118837338415674,-0.108921980167047,-0.157770316303592,-0.0951260342359118,-0.0677865908576402,-0.113073515382992,-0.0385301584878276,-0.091806464731787,-0.0671207937413119,-0.145686783729999,-0.106009930528539,-0..0959734018763874,-0.115462243866908,-0.0354121638560646,-0.131105546978055,-0.125567354890324,-0.10987488319999,-0.113920841406221,0.000683226592578335,-0.00269772874950787,-0.000226472365199592,0.00157672616785547,0.00107283042619394,-0.00927865588834415,0.090858865007377,0.0335137259962582,-0.023922599834831,-0.00162320264698567,-0.00456122720183105,0.0314198354908326,0..000730785874330553,0.0169618143776527,0.0134598215863438,-0.00406234980227078,-0.00914728097049376,-0.00314027522485435,-0.00478741919999677,0.000637526771008856,-0.0178081361613615,-0.0252452554860227,0.00789079630197488,-0..0236205275070695,-0.0265088218000109,4.69780713291314,4.84150586933103,0.000459814431179236,-0.0998481374600357,-0.221020761589955,-0.128914029494053,-0.119288105222794,-0.147582203393775,-0.0250615720500084,-0.0358800647647655,-0.0225080198044903,-0.0230586149568569,-0.0204869980805816,-0.266995618627611,-0.279047257590798,-0.26087627008033,-0.210991680458195,-0.319435286171819,0.0332164364098222,0.0516052347321559,0.00194627715062174,0.0351797296121744,0.037556642748808
"b_foot1",-0.0289278476551825,-0.0689463410928157,-0.0532730772586739,-0.0454658582654054,-0.0540197086459186,0.0630849470143889,0.0379419626296528,0.0477738139549777,0.0386702827474048,0.0430555067981653,0.00712042965827869,0.0224706504142244,0.00753617947920208,0.0102691628473014,0.0076064648205033,-0.00595249137721808,-0.0182170306028906,-0.00183147160488944,-0.0134351498435374,-0.00786466642427896,-0.0111215099466661,-0.000333051930930485,-0.000598539962166358,0.00232442032274448,0.00367788979519752,0.000988374751919322,0.00850878820759081,0.0140733314839446,0.0162347262852356,0.0105144215210382,-0.00142080893958246,-0.00148892806641199,-0.00162364390821884,-0.00119632529363892,-0.000897485839531793,0.000942976474323332,-0.0258879018766947,-0.00753435367688924,-0.00599025655520955,0.0016296581478978,-0.0197276543814021,-0.0218154968183074,-0.0214189459347814,-0.0189201261993614,-0.0175564447380503,0.0341709070169152,0.0203056804149014,0.0230646867913729,0.0221784494316515,0.0188615579574755,0.00701070954753884,0.00892229425717043,0.0113416639490183,0.00946373177302612,0.0127468893315361,-0.43261115188629,-0.57109327674892,0.00308611656890064,0.00517920942385195,0.0186748983968258,0.0259565810056334,0.0220127208589223,0.0199040029399624,0.00437094963552685,0.00249755764558395,0.00512346251743066,0.00487179312672091,0.00217197585439601,0.0174811308594846,0.0431170164827229,0.0227571647637331,0.0224014670960931,0.0185590721098511,-0.00724866501282659,-0.00390637289531411,0.001024703486623,-0.00725625016109418,-0.0104058838008741
"b_foot2",-0.109461053558295,-0.201896468987335,0.072004248865265,-0.0381173442832251,-0.0436794413850803,0.0379419626296528,0.127824886533601,0.0446875660026387,0.0363296453728616,0.0372531458024149,0.00644694509378653,0.0323270778457066,0.0145810906875508,-0.00197752877466371,0.00655370628733596,-0.0321455208555965,-0.0325130647102211,-0.0399411844494209,0.000261987894340362,-0.0119533959774858,-0.0196682656437351,-0.0200883872919789,-0.00587016905297716,-0.017970328172312,-0.0129306753691672,-0.00341868417964778,-0.0168534347650372,-0.00633094694432364,-0.00373639029519943,-0.00507097298284063,-0.00108778931411319,0.00212723897091943,0.000815616158648703,-0.000279793016990208,0.000254074722201758,-0.00620400822374747,0.0278992459279889,0..00864920315066732,0.00283293160881588,-0.00132323063610826,-0.0233666455116049,-0.0221275187798575,0.00162761152940593,-0.0151043488404006,-0.0228924413231276,0.0251800491882672,0.0330570893623341,-0.00435229162926459,0.00981994064244595,0.0228034341676793,0.00462955346218659,0.0195768944131977,0.00357151790908314,0.0141289577871767,0.0135069848452217,1.97219208266253,-3.96645202294872,0.0100191306564015,-0.00479498587823401,0.00396757705264641,-0.0030617504998378,-0.004330748831073,-0.0136176263257198,0.00277554578520382,-0.00397287309891932,0.000111938835262304,0.00430512322872755,0.00108177878469555,0.0225271313396281,0.0714050461156542,0.0519032334832832,0.011209478936185,0.0235417700439026,-0.00490745278255816,0.0662748759664944,3.44090841102457e-05,0.00806973016717141,-0.00593762094975989
"b_foot3",-0.0364848557300052,-0.0332035481392537,0.0324107815721414,-0.0508225193928586,-0.0411843222081401,0.0477738139549777,0.0446875660026386,0.0751749859119176,0.0428796593617119,0.0476045246870963,-0.00324636891586552,0.00074073196004136,-0.00326694512718599,-0.00196482682416977,-0.00234276693184289,0.0011858777024703,-0.00109127504871462,-0.000783056883237012,0.00737276304707791,-0.000492010293954354,-0.0115438595255891,-0.00217906256440109,-0.0092023294517877,0.00194957461874037,0.0055398154845784,0.00253197319758962,0.0121465006681212,-0.00265735873249386,0.0104908834325366,0.00666624616202499,-0.00187445293812901,-0.00100519163080638,-0.00153375205925974,-0.00131017713177581,-0.000970614911625317,-3.55804213139593e-05,0.0124954635730019,0.00590752386284783,0.00107291118545242,0.00491133934038178,-0.0213559204984823,-0.0233196168321968,-0.0167793117177972,-0.0209267871008634,-0..0205662382680215,0.0224517571881621,0.00999722747669082,0.0106188070430267,0.0174263869350459,0.0199386826869168,0.00926707470975342,0.0162297271614721,0.0130132170838317,0.0128679450443105,0.0135025265579096,0.111186303806349,-2.22147324352618,0.0109050048690517,0.00192034836115142,0.00459012396859345,0.00153667838785033,0.0122679624464363,0.00714914373194922,0.00174614438954125,-0.00321721198668919,-0.00378155796669376,-0.00200138424178368,-0.00321908421550175,0.0076804583227692,0.00710273149982468,0.00408177500255938,0.00788735252385534,0.00568497290598775,5.22797590623257e-06,-0.00455668343702808,0.0137299478037922,-0.00296315924936951,-0.00242825864503163
"b_foot4",-0.0139010498270323,-0.0514381896857886,-0.0206401752145874,-0.0359346430528969,-0.0226866757874229,0.0386702827474049,0.0363296453728613,0.042879659361712,0.04802610883426,0.0429480673312692,8.06804138904643e-05,0.0101262498909698,0.00359334467203285,0.00512298889781374,0.002691954795796,-0.000429899904362885,-0.00748425007146802,-0.000626041488740856,-0.00472393835915541,-0.00489567136510269,-0.0168331778758528,-0.011200200969773,-0.0137572601772412,-0.0172391815481374,-0.0124386431902788,-0.00110549558110592,0.00359869820147167,0.00317982058619713,0.00250435327004813,8.85028801558992e-05,-0.000921062027456785,-0.000454728347728086,-0.00142679869244226,-0..000906088767609047,-0.00046027029208368,0.00480084301942014,0.000297563781067114,-0.006494267685287,-0.00170465163201164,0.00226239999440508,-0.015064271900978,-0.00995952043528039,-0.0143260600290671,-0.0138193917966286,-0.0126570099711249,0.0253674472431397,0.0120934675662013,0.0190375100639603,0..0216305651081653,0.0172753019027686,0.00036553443211015,0.00559950406897523,0.00516145291838073,0.003355465211918,0.0047517061202308,-0.041386162286279,-0.136892046976114,0.00452383191989488,-0.00924734982953637,-0.00290087993972255,-0.00037901444623844,-0.00285400577053087,-0.00393760389908699,0.00302172137374846,0.00100783231729922,0.00357245479726904,0.00540197126264913,0.00259406853741203,0.00339175111398197,0.02372343866904,0.00567946522725726,0.0115707363300688,0.00463543932007492,-0.0062312361135908,0.00480029293750319,-0.00207994356848394,-0.00251931973370053,-0.00731963804871659
"b_foot6",-0.0599475403621769,-0.0327222248860865,-0.0251660943155898,-0.0427124545553632,-0.0306565815489405,0.0430555067981652,0.0372531458024147,0.0476045246870963,0.0429480673312692,0.0500320369749335,0.00374563283987426,0.0117479331126368,0.000294390187984266,0.00544403834615921,0.000277546592925293,-0.0037552719847634,-0.0111479147715269,-0.000291010619923684,-0.0035901667563463,-0.00426796498188164,-0.0180398427208874,-0.0176209377765876,-0.0125761552188881,-0.0128610175781659,-0.010656655426976,-0.00854677602306113,-0.00737710744445637,-0.00444509551148351,-0.000784621734879677,-0.00431571450031233,-0.00153146018813974,-0.00119697221740696,-0.00139670465943,-0.00113870874875193,-0.000665495772165017,0.00256683699678065,-0.00729366977639062,-0.00671182609067945,-0.00276843433107879,0.00164657533619851,-0.0190803154279247,-0.0171442190548843,-0.0212080235477945,-0.0178348868739857,-0.0162225844945737,0.0216472027323768,0.00996702973628893,0.0183550522175123,0.0192748371403505,0.0160582743965519,0.00800708748903769,0.0110959493959557,0.0153094089829769,0.00971613148852858,0.0126732979129596,0.60697247566146,-0.151943323128628,0.00539431991232199,-0.0142662624728532,-0.00899199288799028,-0.000533640749256771,0.000874185353098193,-0.00165543771494554,0..000305814121707351,-0.000925119112840232,0.00190013042254019,0.00300626634004701,0.00048174484692212,0.0132943483219761,0.0267827737726371,0.00760006537718314,0.0176863360305476,0.00774287912466886,-0.00710798098580717,-0.00203414427698648,0.0004270563961229,-0.00562718032495596,-0.00871265456124896
