ID,playerid,name,foot,moveGK,GKS,Ingso,Competetion,HeiGK,Dec,lpbg,la9,la6,rnoGroup,Solsbgopponent,positiondef,nmovGK,SRGK1,SRGK2,SRGK3,SRGK4,SRGK5,SRGK6,Choice
1,1,Abidal,L,no,central,Shootout,WM,192,no,null,null,null,Final,Goal,DF,still,0.066174213,0.038768731,0.033794629,0.172525267,0.247927236,0.18871971,4
2,2,Abreu,L,no,central,Shootout,WM,193,yes,null,null,null,Quarter-Final,Saved,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,5
3,3,Adams,R,jumping on spot,slightly left,Shootout,Cup,187,no,null,null,null,2,Goal,DF,moving,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,3
4,4,Adamyan,R,jumping on spot,central,Shootout,Cup,187,no,null,null,null,2,Goal,ST,moving,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,4
5,5,Adiyiah,R,no,central,Shootout,WM,190,no,null,null,null,Quarter-Final,Missed,ST,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,6
6,6,Agüero,R,no,central,Ingame,League,191,no,null,null,null,null,null,ST,still,0.065527661,0.110227273,0.033464441,0.170839617,0.245504876,0.186875834,4
7,6,Agüero,R,no,central,Ingame,League,183,no,Goal,7,4,null,null,ST,still,0.060355247,0.10719697,0.030822931,0.157354424,0.226125994,0.172124825,6
8,6,Agüero,R,step right,central,Ingame,League,182,no,Missed,9,6,null,null,ST,moving,0.059708695,0.106818182,0.030492742,0.155668775,0.223703633,0.170280948,5
9,6,Agüero,R,step right,slightly right,Ingame,League,186,no,Goal,8,5,null,null,ST,moving,0.062294902,0.108333333,0.031813497,0.162411371,0.233393074,0.177656453,5
10,6,Agüero,R,no,central,Ingame,League,188,no,Goal,8,5,null,null,ST,still,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,6
11,6,Agüero,R,no,central,Ingame,League,193,no,Goal,9,6,null,null,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6
12,6,Agüero,R,no,central,Ingame,League,195,no,Goal,9,6,null,null,ST,still,0.068113868,0.111742424,0.034785195,0.177582214,0.255194317,0.194251339,3
13,6,Agüero,R,no,central,Ingame,League,196,no,Goal,3,3,null,null,ST,still,0.068760419,0.112121212,0.035115384,0.179267863,0.257616677,0.196095215,4
14,6,Agüero,R,no,central,Ingame,League,193,no,Goal,7,4,null,null,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6
15,6,Agüero,R,no,central,Ingame,UCL,182,no,Goal,9,6,Group,null,ST,still,0.059708695,0.106818182,0.030492742,0.155668775,0.223703633,0.170280948,6
16,6,Agüero,R,no,central,Ingame,League,199,no,Goal,9,6,null,null,ST,still,0.070700075,0.113257576,0.03610595,0.184324811,0.264883758,0.201626843,6
17,6,Agüero,R,no,central,Ingame,Cup,190,no,Goal,9,6,last sixteen,null,ST,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,1
18,6,Agüero,R,no,slightly right,Ingame,WM-Quali,195,no,Goal,1,1,Group,null,ST,still,0.068113868,0.111742424,0.034785195,0.177582214,0.255194317,0.194251339,4
19,6,Agüero,R,jumping on spot,central,Ingame,League,191,no,Goal,7,4,null,null,ST,moving,0.065527661,0.110227273,0.033464441,0.170839617,0.245504876,0.186875834,6
20,6,Agüero,R,no,central,Ingame,UCL,186,no,Saved,9,6,Group,null,ST,still,0.062294902,0.108333333,0.031813497,0.162411371,0.233393074,0.177656453,3
21,6,Agüero,R,step right,central,Ingame,UCL,193,no,Goal,3,3,Group,null,ST,moving,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,4
22,6,Agüero,R,no,central,Shootout,WM,187,no,Goal,7,4,Semi-Final,Saved,ST,still,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,4
23,6,Agüero,R,no,central,Ingame,UCL,187,no,Goal,7,4,Group,null,ST,still,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,6
24,6,Agüero,R,rechts geneigt,central,Ingame,League,188,no,Goal,9,6,null,null,ST,moving,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,4
25,6,Agüero,R,rechts geneigt,central,Ingame,League,188,no,Goal,7,4,null,null,ST,moving,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,5
26,6,Agüero,R,step left,central,Ingame,League,188,no,Saved,8,5,null,null,ST,moving,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,4
27,6,Agüero,R,jumping on spot,central,Ingame,UCL,193,no,Goal,7,4,Group,null,ST,moving,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6
28,6,Agüero,R,step left,slightly left,Ingame,League,199,no,Goal,6,6,null,null,ST,moving,0.070700075,0.113257576,0.03610595,0.184324811,0.264883758,0.201626843,6
29,6,Agüero,R,no,central,Ingame,League,193,no,Goal,9,6,null,null,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6
30,6,Agüero,R,no,central,Ingame,UCL,187,no,Goal,9,6,last sixteen,null,ST,still,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,4
31,6,Agüero,R,no,central,Ingame,League,191,no,Saved,4,4,null,null,ST,still,0.065527661,0.110227273,0.033464441,0.170839617,0.245504876,0.186875834,4
32,6,Agüero,R,no,central,Ingame,Friendly,182,no,Goal,4,4,null,null,ST,still,0.059708695,0.106818182,0.030492742,0.155668775,0.223703633,0.170280948,6
33,6,Agüero,R,no,central,Ingame,Cup,188,no,Goal,9,6,3,null,ST,still,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,6
34,6,Agüero,R,no,central,Ingame,UCL,183,yes,Goal,6,6,Group,null,ST,still,0.060355247,0.10719697,0.030822931,0.157354424,0.226125994,0.172124825,6
35,6,Agüero,R,no,central,Ingame,League,190,no,Goal,9,6,null,null,ST,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,4
36,6,Agüero,R,no,central,Shootout,Cup,193,no,Goal,7,4,Final,Saved,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6
37,6,Agüero,R,no,central,Ingame,League,193,no,Goal,9,6,null,null,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6
38,6,Agüero,R,no,central,Ingame,League,193,no,Missed,9,6,null,null,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6
39,6,Agüero,R,jumping on spot,central,Ingame,UCL,189,no,Goal,9,6,Quarter-Final,null,ST,moving,0.064234557,0.109469697,0.032804063,0.167468319,0.240660155,0.183188082,6
40,6,Agüero,R,no,central,Ingame,League,199,no,Missed,9,6,null,null,ST,still,0.070700075,0.113257576,0.03610595,0.184324811,0.264883758,0.201626843,4
41,6,Agüero,R,step right,central,Ingame,League,185,no,Goal,7,4,null,null,ST,moving,0.06164835,0.107954545,0.031483309,0.160725722,0.230970714,0.175812577,1
42,6,Agüero,R,no,central,Ingame,League,188,no,Goal,4,1,null,null,ST,still,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,4
43,6,Agüero,R,jumping left and right,central,Ingame,UCL-Quali,184,no,Goal,4,4,4,null,ST,moving,0.061001799,0.107575758,0.03115312,0.159040073,0.228548354,0.173968701,4
44,6,Agüero,R,jumping on spot,central,Ingame,UCL-Quali,184,no,Saved,7,4,4,null,ST,moving,0.061001799,0.107575758,0.03115312,0.159040073,0.228548354,0.173968701,2
45,6,Agüero,R,jumping on spot,central,Ingame,League,185,no,Missed,2,2,null,null,ST,moving,0.06164835,0.107954545,0.031483309,0.160725722,0.230970714,0.175812577,1
46,6,Agüero,R,no,central,Ingame,UCL,183,no,Goal,1,1,Group,null,ST,still,0.060355247,0.10719697,0.030822931,0.157354424,0.226125994,0.172124825,6
47,6,Agüero,R,rechts geneigt,central,Ingame,League,190,no,Goal,9,6,null,null,ST,moving,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,2
48,6,Agüero,R,no,central,Ingame,League,197,no,Goal,2,2,null,null,ST,still,0.069406971,0.1125,0.035445573,0.180953513,0.260039037,0.197939091,6
49,6,Agüero,R,no,central,Ingame,Cup,198,no,Saved,6,6,last sixteen,null,ST,still,0.070053523,0.112878788,0.035775761,0.182639162,0.262461397,0.199782967,1
50,6,Agüero,R,no,central,Ingame,League,193,no,Goal,1,1,null,null,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,1
51,6,Agüero,R,links geneigt,central,Ingame,UCL,190,no,Goal,4,1,Group,null,ST,moving,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,4
52,6,Agüero,R,no,slightly right,Ingame,League,198,no,Saved,4,4,null,null,ST,still,0.070053523,0.112878788,0.035775761,0.182639162,0.262461397,0.199782967,6
53,6,Agüero,R,jumping on spot,central,Shootout,Cup,190,yes,Goal,9,6,last sixteen,Saved,ST,moving,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,3
54,6,Agüero,R,no,central,Ingame,League,196,no,Goal,3,3,null,null,ST,still,0.068760419,0.112121212,0.035115384,0.179267863,0.257616677,0.196095215,6
55,6,Agüero,R,step left,central,Ingame,League,195,no,Goal,9,6,null,null,ST,moving,0.068113868,0.111742424,0.034785195,0.177582214,0.255194317,0.194251339,6
56,6,Agüero,R,jumping left and right,central,Ingame,UCL,190,no,Goal,9,6,Group,null,ST,moving,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,3
57,6,Agüero,R,no,central,Ingame,League,190,no,Goal,3,3,null,null,ST,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,1
58,6,Agüero,R,no,central,Ingame,Cup,198,no,Goal,4,1,4,null,ST,still,0.070053523,0.112878788,0.035775761,0.182639162,0.262461397,0.199782967,6
59,6,Agüero,R,no,central,Ingame,League,186,no,Goal,9,6,null,null,ST,still,0.062294902,0.108333333,0.031813497,0.162411371,0.233393074,0.177656453,6
60,6,Agüero,R,jumping on spot,central,Shootout,Cup,186,no,Goal,9,6,Final,Goal,ST,moving,0.062294902,0.108333333,0.031813497,0.162411371,0.233393074,0.177656453,6
61,6,Agüero,R,no,central,Ingame,League,190,no,Goal,9,6,null,null,ST,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,6
62,6,Agüero,R,jumping on spot,central,Ingame,UCL,196,no,Goal,9,6,last sixteen,null,ST,moving,0.068760419,0.112121212,0.035115384,0.179267863,0.257616677,0.196095215,2
63,6,Agüero,R,no,central,Ingame,Cup,190,no,Goal,2,2,Quarter-Final,null,ST,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,4
64,6,Agüero,R,no,central,Ingame,UCL,188,no,Missed,7,4,Quarter-Final,null,ST,still,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,6
65,6,Agüero,R,no,central,Ingame,League,190,no,Saved,6,6,null,null,ST,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,4
