"","asc_TL","asc_TC","asc_TR","asc_DL","asc_DR","b_foot1","b_foot2","b_foot3","b_foot4","b_foot6","b_moveGK1","b_moveGK2","b_moveGK3","b_moveGK4","b_moveGK6","b_GKS1","b_GKS2","b_GKS3","b_GKS4","b_GKS6","b_IS1","b_IS2","b_IS3","b_IS4","b_IS6","b_comL1","b_comL2","b_comL3","b_comL4","b_comL6","b_HGK1","b_HGK2","b_HGK3","b_HGK4","b_HGK6","b_dec1","b_dec2","b_dec3","b_dec4","b_dec6","b_lp1","b_lp2","b_lp3","b_lp4","b_lp6","b_latr1","b_latr2","b_latr3","b_latr4","b_latr6","b_ladr1","b_ladr2","b_ladr3","b_ladr4","b_ladr6","b_sr1","b_sr3","b_perc","b_rnog1","b_rnog2","b_rnog3","b_rnog4","b_rnog6","b_solsbg1","b_solsbg2","b_solsbg3","b_solsbg4","b_solsbg6","b_nmovGK1","b_nmovGK2","b_nmovGK3","b_nmovGK4","b_nmovGK6","b_def1","b_def2","b_def3","b_def4","b_def6"
"asc_TL",1,0.307436848110581,0.269331339441138,0.370678561987971,0.380497041448943,-0.0608133438508434,-0.0394344865890455,-0.0466712229417937,-0.0604038487592063,-0.0596494695504453,-0.372371613284077,-0.183083207386829,-0.196676086260668,-0.236528976278006,-0.235573485239048,-0.142096534523681,-0.0873455066831545,-0.0894122036169889,-0.115473732366851,-0.112527593162458,-0.0636749857531186,-0.0456048333261831,-0.0513642653564966,-0.0602978914896937,-0.0594809405307335,-0.0921855897249851,-0.0726799925527065,-0.0706542650559877,-0.0900078102249253,-0.0896165687481849,0.264995483550728,-0.0454937290129507,0.0173518800274999,-0.0679712021089912,-0.0608175434809152,-0.000781203111378994,-0.0047156932189417,-0.00641506138596964,-0.00885447862201684,-0.00814705431057247,-0.0176080058803321,-0.00436874952022167,-0.0043328618543069,-0.00749908573377437,-0.00676348372703071,-0.0214937032584623,-0.0150450277374564,-0.0191463018687495,-0.0192203356676618,-0.018112481207605,-0.012167423440128,-0.0131827914689227,-0.0133234440507294,-0.0178593169657577,-0.0188038206518824,-0.831563822546574,-0.125005157443488,0.0106714225649513,-0.0841566023966021,-0.0518956134392723,-0.0586879926955797,-0.0704615378702217,-0.0701964888535058,-0.00520576143128896,-0.00151908554376586,-0.000182356062680755,-0.00246068986662016,-0.0014104241122786,-0.410861982721906,-0.20335770261718,-0.215377226575296,-0.256198389410504,-0.260561810396289,-0.0322308390847242,-0.0162650951803754,-0.0176928759183102,-0.0197708776428225,-0.0192513494232271
"asc_TC",0.307436848110581,1,0.306056884515281,0.681221700232029,0.721484172187826,-0.0896211791202581,-0.228369038689596,-0.0959179933828974,-0.113078367814014,-0.111465359839645,-0.350240259331593,-0.56374698189831,-0.365000995598703,-0.433049172703073,-0.44552280348138,-0.179402789051014,-0.271927442044076,-0.177075625617318,-0.215193596763876,-0.218597914657812,-0.0946702276348571,-0.148419345297265,-0.09559692846629,-0.110086146876178,-0.108510801983838,-0.143818005866744,-0.230980523425342,-0.13284758782332,-0.166294843652533,-0.164707380669147,-0.0932761006529895,-0.196306854716145,-0.0912130008208096,-0.123212912820054,-0.121119954038274,-0.013421199646388,-0..01664823633698,-0.0142366996035584,-0.0153293131783193,-0.016406389355952,-0.00907475677595864,-0.0150616881283919,-0.0109696755606061,-0.0108768423920748,-0.0133781548286315,-0.0306537405499904,-0.0658866605431132,-0.0308852334876502,-0.0367335103631195,-0.0329998798131966,-0.0266111013788671,-0.0647907311443408,-0.0253701832388347,-0.0331292552703219,-0.0336988351733305,0.000326480324069005,-0.000392394357679054,0.00664066317343164,-0.109324651313159,-0.155828117876241,-0.106304714117095,-0.127650583381918,-0.12755206668206,-0.00235512828466155,-0.00610350264467284,-0.00419268573191234,-0.003382364920777,-0.00458628502158681,-0.382570676890685,-0.625616216853212,-0.399821092029689,-0.468933664684874,-0.491241943819514,-0.032457443947203,-0.0816635680834322,-0.0288567834670841,-0.037386966635271,-0.0304471786956032
"asc_TR",0.269331339441138,0.306056884515281,1,0.360656739376615,0.380926638180165,-0.0468582322117579,-0.0396920046699384,-0.0499445805952108,-0.0589388499310035,-0.0594022108052023,-0.186701323439552,-0.183030264039359,-0.332850423603442,-0.229735197911555,-0.235395485743021,-0.0928214598373347,-0..0872468399616599,-0.109619283288269,-0.112845772663867,-0.11553396969393,-0.0480314044537058,-0.0440527919148085,-0.0733410957109683,-0.0588953527526307,-0.0578750591922063,-0.072676537089882,-0.0702892072010832,-0.111043669131702,-0.0880843229152275,-0.0869041428741589,0.0167016868513309,-0.0452319363156388,0.274318749842614,-0.0659356295402261,-0.0613559952087917,-0.00671615699010316,-0.00489891268710225,-0.0124182259238695,-0.00852098080602512,-0.00766390620368545,-0.00544160142468896,-0.00461297521009586,0.00165558150400683,-0.00628083786663431,-0.00901208133624107,-0.0159666932681142,-0.0137315702493954,-0.033826441609466,-0.0190911668832977,-0.0149198784324117,-0.0138651826372896,-0.0139924646681741,-0.021388200336593,-0.0176501699281247,-0.0186690473950137,-0.127952639164442,-0.859520667127238,0.00540424671631758,-0.0561891570348244,-0.0506155054689364,-0.109461697978861,-0.0686810905360369,-0.0679345525392606,-0.00182000947657456,-0.00221652357592833,-0.0068050737987397,-0.00209402610416474,-0.002130623638951,-0.203915352488786,-0.20280991209832,-0.364159184109698,-0.248816294213314,-0.259733612879286,-0.0164035942753322,-0.014137197223411,-0.0293701408772281,-0.0194616219625132,-0.0173225997154733
"asc_DL",0.370678561987971,0.681221700232029,0.360656739376615,1,0.83824536151936,-0.106491551661315,-0.0876373859948315,-0.114574358669191,-0.163546250847662,-0.133644950290259,-0.421314174425749,-0.403218051532165,-0.426918918749642,-0.633140963596609,-0.513546518954763,-0.217110444135537,-0.194159088345731,-0.209462264250392,-0.315260436735748,-0.251733272006822,-0.113923472539157,-0.101977523113747,-0.1140080948782,-0.155690256964797,-0.128500756789436,-0.173208903512894,-0.160996960491594,-0.159682267085121,-0.232261202403635,-0.196975719023096,-0.111362761501532,-0.107361635685938,-0.109163340661549,-0.173897814632439,-0.145062999815952,-0.0169727625381703,-0.00864157198707802,-0.0163312121461677,-0.0255302529987284,-0.0182578663560693,-0.0110736756355008,-0.0105574053043995,-0.0120539144548801,-0.0174098433491664,-0.0141545095066523,-0.0367625527886595,-0.0347555847643219,-0.0372994645157516,-0.0508468256494741,-0.0409619861088204,-0.0321864177210606,-0.0286092970458068,-0.0303874275974875,-0.0509808632036362,-0.0364786617250665,-0.000161061242951965,-0.000703858461434554,-0.00956376220763342,-0.132100764175638,-0.115399209862586,-0.126980049690487,-0.176820551028278,-0.152148119071705,-0.00353858109370422,-0.00343997568529483,-0.00463753380540841,-0.00665600060271715,-0.00584379618055884,-0.460264713495964,-0.447907321170106,-0.468530109782657,-0.692396077324666,-0.568637514480149,-0.0376100608915119,-0.0350204934514955,-0.0367127050205438,-0.0520435504587817,-0.0404391163553618
"asc_DR",0.380497041448943,0.721484172187826,0.380926638180165,0.83824536151936,1,-0.110671081888381,-0.091447346717245,-0.119734814175857,-0.13694408218141,-0.168312998571872,-0.433461204113931,-0.430275727279912,-0.454835414807506,-0.532190788604863,-0.60578314891082,-0.221058157402985,-0.205459770808689,-0.220672104606958,-0.263925493117012,-0.30202076421462,-0.117817738814229,-0.10605372046142,-0.119112134803796,-0.137477131986781,-0.160354752897362,-0.179395482839738,-0.165299723446939,-0.165897904757655,-0.206722768389846,-0.244773371356226,-0.115260865081972,-0.110231447809425,-0.11389428507424,-0.152365643231258,-0.184352886271101,-0.0176684574294211,-0.00910167955697113,-0.0171354421077662,-0.0194313604430576,-0.0242631462958416,-0..0115509095863433,-0.0110999071843714,-0.0128189082243473,-0.0140617648373118,-0.022900969189081,-0.0380737178988352,-0.0345652488738932,-0.0385881004182835,-0.0443460589639636,-0.0534893816510218,-0.0329550150277799,-0.0315640254368318,-0.0325064139315259,-0.0402633561519849,-0.0494760206426958,0.000319298058181999,2.63903220095721e-05,-0.0108923966406172,-0.136800884372967,-0.118339736531079,-0.132341277781772,-0.159328898337296,-0.187742550618211,-0.00365534394763201,-0.00350720285887646,-0.00502862965961261,-0.00498475822696274,-0.00814758983953178,-0.473456997059862,-0.477694089471263,-0.498154096859111,-0.576604868987078,-0.664599539438035,-0.039130981155098,-0..0337886818029578,-0.037345783698305,-0.0445624583113021,-0.0546277323145576
"b_foot1",-0.0608133438508434,-0.0896211791202581,-0.0468582322117579,-0.106491551661315,-0.110671081888381,1,0.438486939615627,0.576753198735921,0.661238056309127,0.665050168602541,0.0445518057947038,0.0252059253205933,0.0281002559721843,0.0323218767822034,0.0332083161086919,-0.0200007049386697,-0.0089588375689518,-0.0111783938896125,-0.0123583016996132,-0.0124844171410757,-0.0530302320407668,-0.0302378751696487,-0.0320390786845614,-0.0387326333353917,-0.0364558856757177,-0.0593304830110178,-0.0351754204502493,-0.0296849074622026,-0.0420253984913171,-0.0382929584795733,-0.0080829919779221,-0.0175959411375281,-0.0202361349841943,-0.0248519669126276,-0.0257199287107383,0.0168450187729643,0.00529936066032781,0.00741329082993296,0.0115365455045254,0.00946223775996536,-0.0901908252658801,-0.0452669810579913,-0.0495057649942238,-0.0572470592039847,-0.05745429830312,0.0782577090081828,0.0407266385021915,0.0441188636539909,0.0499416776054664,0.0475921655289357,0.0746366072299632,0.0361036287202315,0.0391063861345934,0.0486541199842416,0.0504034705809613,-0.0398807503518549,-0.000489349553446913,-0.015131247988725,-0.0668635531463082,-0.0352606126403119,-0.0348818514290136,-0.0462077090474029,-0.0428929946404993,0.0209784531770113,0.0121357554179043,0.0134513477134567,0.0168063324500795,0.0154533851249544,0.0256723110628695,0.0148956061300877,0.0163281303340475,0.0185278352983408,0.0194453169317552,0.0953432537081291,0.0570464870597015,0.0582996546674683,0.0668666499295349,0.0649735523746622
"b_foot2",-0.0394344865890455,-0.228369038689596,-0.0396920046699384,-0.0876373859948315,-0.091447346717245,0.438486939615627,1,0.4703603123148,0.547615456921197,0.548887439484311,0.0210748148192854,0.0329896882513488,0.0238493293903478,0.0263829575079638,0.0274094006828647,-0.00837249480307148,-0.00957657399696207,-0.00912577711480654,-0.0099738578733945,-0.0106243495949151,-0.0272270954936837,-0.0487359094619003,-0.0263038742553539,-0.0323762500625692,-0.0305380793841698,-0.0298454280065218,-0.0460200157038358,-0.0249142047625069,-0.0347811045886384,-0.0324875043519786,-0.0159333748449434,-0..0315245582546701,-0.0162823056202815,-0.0208540801173121,-0.020893861932129,0.00617555819654931,0.00314384565823487,0.00876691803186733,0.00683717741405798,0.0083732587744285,-0.0406282093184606,-0.0883773100235557,-0.0368532319617689,-0.0491741130442996,-0.0454756583547809,0.0349996070117571,0.088389354309486,0.0328150044000464,0.0416550865615317,0.0376800372946094,0.0330057634156776,0.0676436175339837,0.0307056664209576,0.0407494841102672,0.0399936851885356,0.00024615227353404,0.000326412717129593,-0.00586629482903295,-0.0329333295057008,-0.0577555529317644,-0.0275669369300384,-0.0387325883345463,-0.0353369875002658,0.0102640893609783,0.0142713496251108,0.0137886639354985,0.012452969879263,0.0140284908309173,0.0118370088890979,0.0223683995693279,0.0147670140371625,0.0149359131749093,0.0165509586504531,0.0514867049837706,0.128441563043916,0.0440976479965583,0.0575023513591367,0.0511529440880561
"b_foot3",-0.0466712229417937,-0.0959179933828974,-0.0499445805952108,-0.114574358669191,-0.119734814175857,0.576753198735921,0.4703603123148,1,0.709763279680263,0.718735266456606,0.028967193696571,0.02816115652122,0.0484109350762383,0.0358798127146579,0.0358918711238931,-0.0131172306288372,-0.0121039559159757,-0.00760600922564126,-0.0151385728100516,-0.0134380047198979,-0..0342030148724774,-0.0297927844099216,-0.0599586695171456,-0.0392259425151025,-0.0409670724638153,-0.0367994635221264,-0.0343601377480451,-0.053693589993555,-0.0431158883816746,-0.0421163580430232,-0.0185628640160759,-0.0202310924713723,-0.0102577211850452,-0.0280778010136781,-0.0263983043659801,0.0111725898533338,0.00610978348484888,0.0167987902836759,0.0110792287083799,0..0103531055117678,-0.0532530190045693,-0.0490682221224087,-0.0968361183939515,-0.0658439520905943,-0.060685395690117,0.0461062493345172,0.0446797906581409,0.0872710379265865,0.0530679224620407,0.0494960428531034,0.0424455943912283,0.0376840169526594,0.0780879862793607,0.0519550895868279,0.0472675412384865,-0.00623423420556289,-0.0362672619702915,0.0430545780617191,-0.0401793275475053,-0.0345256781073565,-0.0671873618677052,-0.0472135799839697,-0.0477370144477445,0.01434345166638,0.0118738907917127,0.0271511014651791,0.0165957890260421,0.0182046893171792,0.0169870030593878,0.0173418040760486,0.0253231357904546,0.020735759196365,0.0211187736182514,0.0641408123288625,0.0588203165154027,0.102072144646749,0.073033228725474,0.0690992183522968
"b_foot4",-0.0604038487592063,-0.113078367814014,-0.0589388499310035,-0.163546250847662,-0.13694408218141,0.661238056309127,0.547615456921197,0.709763279680263,1,0.825109593480957,0.0335264125837818,0.0335892182622285,0.0320501253087829,0.0445987672524475,0.0403932834238379,-0.0133828282908965,-0.0120466338085068,-0.0124060873892693,-0.0163766813251276,-0.0149746792208126,-0.0395986437495729,-0.0362257081455956,-0.0414682248867403,-0.0553356724315133,-0.0462420984593711,-0.0441240378836492,-0.0417339983110956,-0.0394758966291746,-0.0605967092020981,-0.0493962328391816,-0.0244770085929785,-0.0240086407945696,-0.0236568723935153,-0.0359720697425152,-0.0312334320769254,0.0112459885857044,0.00556588942697708,0.0106027116113859,0.0137129477293814,0.0119203182371325,-0.0595685391129541,-0.0572116716833227,-0.0599807145036394,-0.0848758729626528,-0.0707714693640683,0.0524247401737539,0.0513887840061958,0.0538596278916211,0.0747349079648092,0.0586782051233524,0.0496163075551153,0.046312411338161,0.0462189789730141,0.0729026157326261,0.0625090812199907,0.000364254600092298,0.00139658763242268,-0.0268747347019695,-0.0483972581296361,-0.0427008162660913,-0.044537158641469,-0.0679362633584712,-0.0542290293765285,0.0158289353429253,0.0127088823772826,0.0197404188963552,0.021033708920436,0.0201373929712925,0.0195416506163964,0.020145124847889,0.0184339176473423,0.026033854005493,0.0239110144259958,0.074457992645957,0.0721519134196937,0.071274060103144,0.101432739689268,0.0798881133303186
"b_foot6",-0.0596494695504453,-0.111465359839645,-0.0594022108052023,-0.133644950290259,-0.168312998571872,0.665050168602541,0.548887439484311,0.718735266456606,0.825109593480957,1,0.0323568445274824,0.0304478986005984,0.0359088101553621,0.0405403745938782,0.0491152151430153,-0.0137431573725323,-0.012003734508246,-0.0130509164756562,-0.0158846575408726,-0.0155799102476699,-0.0402903700377128,-0.0361162273190109,-0.0418066268886112,-0.0460907944173201,-0.0563097348156068,-0.0427875230041572,-0.0406056053517839,-0.0392194449962488,-0.0502795797232825,-0.0601785413318151,-0.0237858746213922,-0.0219582613918218,-0.0253988984148592,-0.0311757272170982,-0.0374571453571818,0.0118473995705289,0.00584767310877866,0.0108414176217482,0.0113100947900192,0.0141245903756852,-0.0604638829364756,-0.0557323187320976,-0.0597136958259438,-0.0754687333096684,-0.0885653210352329,0.0522579119565604,0.0507172981898898,0.0486866290955869,0.0603764963112101,0.0754652162333841,0.0499196207854238,0.0454943599637034,0.0504286030906297,0.0613515476939845,0.0670698248303754,-0.000154490423205339,9.17200040263607e-06,0.0533472190410407,-0..0476876972020216,-0.0424489975316004,-0.0449034204100403,-0.0560904457428374,-0.0667849115929553,0.0164596071611023,0.0138833176361727,0.0196167533378291,0.0190551594390959,0.0233742501696662,0.018323515035023,0.0176814332798928,0.0217222510005625,0.0230249875428286,0.0305718781445624,0.0742234233532845,0.0688612981924384,0.0708598399751336,0.0849714887760343,0.102146481109745
